learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
CFPS-CFR_EX+IN  3.21878  3.35506  6.0955  0.415317  1.73729  2.29477  4.29589  5.05236  2.30333  1.64631  
TIPS-CFR_EX+IN  3.80125  3.76117  3.73667  0.4003  1.51858  2.9258  3.67305  5.31399  3.09447  4.131  
t = 12
CFR  2.22684  2.86695  5.40927  0.540218  3.02404  2.0528  7.26325  4.60068  3.77393  2.57407  
CFR_EX+IN  2.65652  2.65175  4.60872  0.718051  2.75622  4.07331  6.61413  5.8352  2.53773  3.08017  
CFR_IN  4.4658  4.86845  0.326687  0.250079  3.7422  0.306199  1.1357  0.370229  4.68597  5.31963  
A-CFR_IN  0.661563  0.18449  0.307428  0.31726  0.587962  0.406997  0.636685  0.239018  0.339095  0.503283  
BPS-CFR  1.5067  1.77622  5.68178  0.548498  1.48543  3.33756  4.05995  6.15285  1.78654  1.55294  
TIPS-CFR  1.78774  3.4449  0.390053  0.31849  2.79465  0.357369  0.423148  0.429905  3.41124  3.13417  
CSPS-CFR  3.07996  5.27817  1.17554  0.290836  4.21193  0.652895  1.48409  1.78112  4.72309  3.30543  
CFPS-CFR  4.45335  2.8629  0.40081  0.450939  3.02027  0.210977  1.77556  0.349066  3.73297  4.25457  
CFPS-CFR_EX+IN  3.785  3.209  4.97566  0.431771  1.42863  2.8409  4.43777  3.99537  1.726  2.07442  
TIPS-CFR_EX+IN  3.18563  3.04592  3.49987  0.614674  2.65523  2.89689  4.08751  5.08109  1.67195  3.04372  
t = 13
CFR  1.7311  2.8073  5.73129  0.311161  2.12455  2.13709  7.28996  4.76197  3.53337  2.81697  
CFR_EX+IN  2.44076  2.54197  4.77296  0.635717  1.32426  3.90771  7.18769  3.64747  2.81833  3.28387  
CFR_IN  3.31007  3.07577  0.418367  0.30278  4.21579  0.366614  1.48675  0.435443  5.49739  3.81123  
A-CFR_IN  0.783163  0.16577  0.265395  0.318  0.598966  0.376709  0.415728  0.302042  0.309318  0.770333  
BPS-CFR  2.32799  2.36661  5.72393  0.458134  1.60272  3.40145  4.62307  5.55032  1.71519  1.61094  
TIPS-CFR  2.19293  3.87343  0.431661  0.367139  3.20266  0.435096  0.597241  0.182394  3.22644  3.15128  
CSPS-CFR  4.32463  4.47962  1.41536  0.417699  4.23084  0.624178  1.41989  2.03846  4.61371  3.96766  
CFPS-CFR  3.24399  5.09706  0.46567  0.289173  4.99223  0.433346  1.99427  0.426363  5.87526  3.64356  
CFPS-CFR_EX+IN  4.16151  3.12351  3.71308  0.481519  1.61438  3.67659  4.76654  2.36093  1.85955  1.9497  
TIPS-CFR_EX+IN  2.82878  2.87231  4.04192  0.642457  2.65413  3.29056  3.60446  4.90608  1.93679  2.98981  
t = 14
CFR  1.84742  2.67304  3.39741  0.409132  2.07615  3.7266  6.58732  3.15981  3.47254  2.26418  
CFR_EX+IN  2.39089  2.46434  4.62866  0.419251  1.16221  4.8393  6.31298  2.75628  3.03009  3.04748  
CFR_IN  4.36165  3.00982  0.510116  0.168064  4.37719  0.4367  2.01881  0.405784  5.21529  2.94809  
A-CFR_IN  0.678953  0.164744  0.396128  0.318  0.578293  0.458422  0.277293  0.320353  0.280623  0.639769  
BPS-CFR  2.66577  2.48424  5.47958  0.477506  1.5621  2.59656  4.57509  5.87862  1.66693  1.96048  
TIPS-CFR  2.82857  4.10119  0.476237  0.293282  3.53377  0.493625  0.803409  0.319912  3.68717  3.12039  
CSPS-CFR  5.39384  4.33412  1.44227  0.510611  3.88249  0.593893  1.51468  2.93962  5.10994  4.30549  
CFPS-CFR  5.80337  6.0398  0.581434  0.290498  3.08464  0.488098  3.39131  0.481014  5.53762  4.7785  
CFPS-CFR_EX+IN  3.19982  3.41891  3.31016  0.527511  1.62438  3.40115  4.51472  2.40342  1.80881  2.02972  
TIPS-CFR_EX+IN  2.86029  1.72551  4.47214  0.63356  2.2415  3.03402  3.46521  3.12022  2.10815  2.65423  
t = 15
CFR  1.85179  2.18618  2.72737  0.222368  2.40907  3.6708  6.51513  3.63972  3.37302  1.37866  
CFR_EX+IN  2.1719  2.21145  3.40294  0.023338  1.26273  5.03314  4.19842  2.73443  3.49733  1.74246  
CFR_IN  4.38857  3.93852  0.353601  0.225323  3.59676  0.496585  2.33077  0.128294  2.95187  3.00368  
A-CFR_IN  0.69459  0.424098  0.421949  0.318  0.764842  0.362293  0.253404  0.335507  0.346124  0.8399  
BPS-CFR  2.33728  2.26385  4.23521  0.173452  1.25375  3.4101  4.14904  4.00916  1.02832  2.37684  
TIPS-CFR  2.49079  3.71497  0.621101  0.330196  2.58588  0.590656  0.385875  0.495735  4.27428  3.56951  
CSPS-CFR  4.18995  5.46178  2.48338  0.474639  3.63792  0.868387  1.35544  3.01628  4.76342  4.46623  
CFPS-CFR  6.04454  4.80171  0.816952  0.280788  3.26445  0.562871  2.38576  0.615498  3.01671  4.405  
CFPS-CFR_EX+IN  3.04873  2.81286  3.69461  0.480359  1.95476  3.07196  4.77226  3.59361  1.76342  2.02303  
TIPS-CFR_EX+IN  3.31502  2.45958  4.48125  0.520331  1.141  2.5342  3.75189  2.76907  2.44315  2.72507  
t = 16
CFR  1.79382  2.31821  3.1152  0.448635  2.58395  3.21359  5.46041  3.64593  3.40103  1.48656  
CFR_EX+IN  2.34712  2.28926  2.02868  -0.0373348  1.9161  5.03287  3.82234  3.67465  3.9598  1.60842  
CFR_IN  3.64686  5.1987  0.254362  0.327282  3.78925  0.505168  3.42522  0.343584  2.8847  3.72446  
A-CFR_IN  0.519037  0.458153  0.359598  0.315641  0.569819  0.366584  0.401182  0.337552  0.326047  0.845901  
BPS-CFR  2.08869  0.969551  3.14585  0.344441  1.47994  2.84331  3.79189  2.51977  1.56938  2.35826  
TIPS-CFR  2.96901  4.11849  0.102839  0.41804  2.63386  0.62164  0.415095  0.590985  3.80985  3.04254  
CSPS-CFR  3.98621  4.69221  4.75978  0.200936  3.66359  0.819424  1.3448  3.77082  4.71303  4.5021  
CFPS-CFR  6.40608  2.94365  0.321824  0.281195  4.6133  0.750318  2.43006  0.698593  3.04528  3.50334  
CFPS-CFR_EX+IN  1.74441  3.16145  3.80502  0.426952  1.40805  3.30907  4.10284  3.96566  1.70641  1.91687  
TIPS-CFR_EX+IN  3.35501  2.84927  4.67726  0.484916  1.13799  2.94748  4.3578  3.07332  2.58007  2.73414  
t = 17
CFR  1.71227  2.47332  2.9996  0.596208  2.74091  2.85784  3.68653  3.51306  3.31455  2.42198  
CFR_EX+IN  2.54947  2.4606  2.27103  -0.0067598  2.12659  5.05498  4.16771  3.72473  4.88106  1.85738  
CFR_IN  3.73036  4.39161  0.249458  0.329298  4.15128  0.383889  4.38932  0.445868  3.55353  2.35422  
A-CFR_IN  0.490384  0.441887  0.387223  0.31343  0.499244  0.411185  0.485351  0.334507  0.357344  0.812417  
BPS-CFR  2.0885  0.992741  2.68818  0.379619  1.68785  3.12163  4.04408  2.44227  1.72157  1.75216  
TIPS-CFR  3.21111  4.01321  0.377264  0.520836  2.68216  0.511052  0.522752  0.904411  3.80118  3.05342  
CSPS-CFR  5.04812  4.14332  6.68001  0.0307423  3.37802  0.869513  1.24098  4.47342  4.43498  4.15105  
CFPS-CFR  5.04149  2.79665  0.217532  0.327296  4.87821  0.677872  3.04624  0.63768  4.05778  3.75667  
CFPS-CFR_EX+IN  1.80022  3.15503  2.99266  0.255747  1.6576  4.48443  3.68526  3.01685  1.4676  1.25285  
TIPS-CFR_EX+IN  1.46553  2.62227  5.50196  0.350256  1.36708  2.91566  3.60461  3.20468  1.85492  2.723  
t = 18
CFR  1.62086  2.58065  2.80962  0.691582  2.46391  3.21103  3.21981  3.55439  2.87999  2.16773  
CFR_EX+IN  2.73945  2.5948  3.16785  0.0278125  2.13527  5.34861  3.56276  3.62794  5.99181  2.15061  
CFR_IN  3.95489  3.24573  0.237119  0.462391  4.912  0.410155  4.89933  0.429923  4.65806  3.04642  
A-CFR_IN  0.502206  0.478816  0.454117  0.326259  0.406911  0.393112  0.586109  0.330606  0.363631  0.548834  
BPS-CFR  2.31057  1.08126  2.52549  0.428426  1.8403  3.1696  4.05152  2.40936  1.85933  0.794434  
TIPS-CFR  2.70924  4.33695  0.450567  0.545245  2.86279  0.385404  0.663714  0.698721  4.51676  3.47422  
CSPS-CFR  5.28262  4.82639  7.71904  0.0216289  3.56135  0.462945  1.25136  3.55054  4.33848  4.15241  
CFPS-CFR  3.73541  3.18287  0.336157  0.366168  4.88893  0.504028  3.44412  0.367826  4.28946  4.26133  
CFPS-CFR_EX+IN  2.10785  3.13153  2.43994  0.15701  1.85668  3.94095  3.49893  2.81504  1.65795  1.70399  
TIPS-CFR_EX+IN  1.79193  2.25439  4.4482  0.486251  2.04752  2.89378  3.30185  3.05506  2.04054  2.70148  
t = 19
CFR  1.59565  2.8059  2.62543  0.696177  2.44123  3.59111  3.24119  3.47919  2.74723  2.25892  
CFR_EX+IN  2.88518  2.7631  3.18679  0.0926375  2.12039  5.4321  3.49415  2.45902  5.9694  2.15291  
CFR_IN  4.36378  3.71925  0.214344  0.561764  5.0951  0.515488  6.30238  0.483361  4.65705  3.39677  
A-CFR_IN  0.382672  0.419105  0.429017  0.322537  0.308734  0.508811  0.634671  0.154705  0.307469  0.44452  
BPS-CFR  2.48521  1.14799  2.57765  0.417013  1.98663  3.72536  3.46415  2.47255  2.02979  0.772059  
TIPS-CFR  2.48622  4.56145  0.530182  0.52853  3.01185  0.410693  0.821402  0.600157  4.17003  3.37834  
CSPS-CFR  5.89595  4.87418  7.65097  0.0475762  3.91145  0.411947  1.26558  3.21302  4.16843  4.2467  
CFPS-CFR  3.44666  4.66348  0.33857  0.451178  5.04338  0.491938  3.46387  0.456357  4.127  4.56751  
