learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFPS-EFR_EX+IN  (-0.0410094, 27)  (-0.00432544, 50)  (0.097272, 56)  (0.106274, 54)  (-0.0352215, 41)  (0.0989058, 51)  (0.0882154, 67)  (0.0984868, 58)  (-2.33103e-18, 47)  (-0.00230611, 38)  (0.10054, 36)  
TIPS-EFR_EX+IN  (-0.0388019, 27)  (-0.00192327, 51)  (0.0985294, 55)  (0.107743, 53)  (-0.0329639, 42)  (0.100185, 52)  (0.0895774, 67)  (0.0997625, 58)  (0.00241328, 49)  (-9.2496e-18, 38)  (0.101921, 36)  
BEHAV-EFR  (-0.0941729, 27)  (-0.0859807, 50)  (-0.00232129, 55)  (0.00920395, 54)  (-0.0915654, 42)  (-0.0008709, 52)  (-0.00779707, 66)  (-0.00125374, 58)  (-0.0846006, 50)  (-0.0881968, 38)  (-6.93889e-18, 36)  
BR  (0.447558, 18)  (0.550828, 33)  (0.734113, 38)  (0.767179, 37)  (0.468993, 29)  (0.742129, 34)  (0.736247, 46)  (0.738468, 39)  (0.565884, 33)  (0.559476, 25)  (0.746454, 23)  
t = 5
CFR  (-8.67362e-18, 23)  (0.0447857, 49)  (0.219135, 54)  (0.283311, 54)  (0.0108417, 41)  (0.221809, 57)  (0.199714, 69)  (0.224327, 60)  (0.0601968, 46)  (0.0521923, 35)  (0.260389, 35)  
CFR_EX+IN  (-0.0164908, 23)  (6.93889e-18, 50)  (0.126317, 55)  (0.184753, 54)  (-0.00952122, 40)  (0.129348, 57)  (0.11314, 70)  (0.130433, 61)  (0.0107283, 47)  (0.0059992, 36)  (0.168065, 36)  
CFR_IN  (-0.0291105, 23)  (-0.0453468, 50)  (0, 54)  (0.0459871, 53)  (-0.0261675, 40)  (0.00167456, 58)  (-0.0121248, 68)  (0.0024247, 60)  (-0.0393903, 47)  (-0.0404967, 35)  (0.0377834, 35)  
A-EFR_IN  (-0.0481844, 23)  (-0.075925, 50)  (-0.00567055, 53)  (-2.27682e-18, 53)  (-0.0488769, 42)  (-0.00898625, 55)  (-0.0371749, 70)  (-0.00566865, 61)  (-0.0711418, 48)  (-0.0732324, 35)  (-0.00487884, 35)  
BPS-EFR  (-0.00914466, 23)  (0.0286476, 50)  (0.211035, 54)  (0.271781, 54)  (5.75982e-19, 41)  (0.213487, 56)  (0.193139, 69)  (0.215904, 62)  (0.0424598, 48)  (0.0352663, 35)  (0.249702, 35)  
TIPS-EFR  (-0.0301397, 23)  (-0.048103, 50)  (-0.000838145, 55)  (0.0396122, 53)  (-0.0270985, 41)  (-1.15637e-17, 57)  (-0.0130646, 69)  (0.00126696, 62)  (-0.0420472, 48)  (-0.0431073, 36)  (0.0321369, 36)  
CSPS-EFR  (-0.00616171, 24)  (-0.0218361, 51)  (0.0158715, 56)  (0.064441, 54)  (-0.00200677, 41)  (0.0173667, 58)  (-1.38778e-17, 69)  (0.0189624, 60)  (-0.0149502, 45)  (-0.0168256, 36)  (0.0502343, 36)  
CFPS-EFR  (-0.0318282, 23)  (-0.0500148, 50)  (-0.00214422, 54)  (0.0400805, 54)  (-0.0290772, 41)  (-0.000881366, 58)  (-0.0141802, 68)  (0, 61)  (-0.0442489, 47)  (-0.0453641, 36)  (0.0331672, 36)  
CFPS-EFR_EX+IN  (-0.0220551, 23)  (-0.00973858, 51)  (0.120985, 54)  (0.176064, 54)  (-0.016011, 41)  (0.123704, 56)  (0.108549, 70)  (0.1248, 62)  (-1.73472e-17, 48)  (-0.00424317, 36)  (0.160669, 36)  
TIPS-EFR_EX+IN  (-0.0187481, 23)  (-0.00558733, 51)  (0.124507, 54)  (0.177059, 54)  (-0.0122581, 40)  (0.12715, 55)  (0.111349, 72)  (0.128376, 62)  (0.00446222, 48)  (1.04083e-17, 36)  (0.163035, 36)  
BEHAV-EFR  (-0.0392184, 23)  (-0.0667198, 51)  (0.000629976, 54)  (0.00989764, 53)  (-0.0357867, 41)  (-0.00263813, 57)  (-0.0172376, 70)  (0.00071205, 61)  (-0.0607432, 48)  (-0.0625075, 36)  (-2.08167e-17, 36)  
BR  (0.287156, 16)  (0.400222, 34)  (0.635829, 37)  (0.706825, 37)  (0.31268, 29)  (0.641139, 40)  (0.577184, 47)  (0.645762, 42)  (0.427696, 32)  (0.408863, 24)  (0.670208, 23)  
t = 6
CFR  (1.19262e-17, 23)  (0.017542, 46)  (0.180495, 51)  (0.232257, 54)  (0.00958268, 36)  (0.186059, 54)  (0.151995, 61)  (0.191551, 53)  (0.0399025, 37)  (0.0305104, 31)  (0.179398, 32)  
CFR_EX+IN  (-0.00881299, 23)  (2.71051e-19, 46)  (0.134975, 52)  (0.183087, 52)  (-0.00389234, 36)  (0.140501, 53)  (0.111809, 62)  (0.14498, 54)  (0.0136942, 37)  (0.00740522, 32)  (0.136236, 33)  
CFR_IN  (-0.0129374, 23)  (-0.0106171, 46)  (4.62141e-18, 52)  (0.0386505, 52)  (-0.0128264, 37)  (0.0044174, 53)  (-0.0130308, 61)  (0.00675028, 54)  (-0.00535998, 37)  (-0.00851203, 31)  (0.0102963, 33)  
A-EFR_IN  (-0.0197851, 23)  (-0.0363928, 46)  (-0.0327669, 52)  (-2.27682e-18, 52)  (-0.0214848, 37)  (-0.0330299, 54)  (-0.0546817, 61)  (-0.0300331, 54)  (-0.0349927, 38)  (-0.0363961, 31)  (-0.0172694, 33)  
BPS-EFR  (-0.00713288, 23)  (0.000392187, 46)  (0.165101, 52)  (0.214486, 52)  (-3.03577e-18, 37)  (0.170899, 54)  (0.140772, 61)  (0.175599, 54)  (0.0189436, 37)  (0.0112331, 31)  (0.165458, 32)  
TIPS-EFR  (-0.0130155, 23)  (-0.0120142, 46)  (-0.00415992, 50)  (0.0350564, 52)  (-0.012985, 36)  (4.66207e-18, 54)  (-0.0160862, 62)  (0.00221552, 54)  (-0.00690561, 35)  (-0.00984304, 32)  (0.00783105, 33)  
CSPS-EFR  (0.00758292, 23)  (0.0169545, 47)  (0.0177272, 52)  (0.0599808, 53)  (0.00999325, 37)  (0.0222029, 55)  (-4.62141e-18, 61)  (0.0248561, 55)  (0.024151, 33)  (0.0196288, 32)  (0.02623, 33)  
CFPS-EFR  (-0.0150237, 23)  (-0.0151422, 47)  (-0.00634461, 51)  (0.0317159, 53)  (-0.0153411, 37)  (-0.00216674, 53)  (-0.0177684, 61)  (0, 55)  (-0.0105523, 35)  (-0.0133553, 31)  (0.00478391, 33)  
