learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
CFR  0.147178  0.129231  0.102858  0.0253862  0.1289  0.0979817  0.368304  0.105429  0.141261  0.173414  
CFR_EX+IN  0.142736  0.128474  0.0815124  0.00834711  0.138529  0.0810477  0.374345  0.0858695  0.144532  0.176809  
CFR_IN  0.19323  0.124312  0.0805305  0.00641896  0.13179  0.0912614  0.37362  0.0830282  0.145073  0.134381  
A-CFR_IN  0.191723  0.0919075  0.0762797  -0.00209889  0.0793942  0.0827157  0.412307  0.0701909  0.191843  0.275446  
BPS-CFR  0.151155  0.136803  0.104058  0.0250846  0.12982  0.095465  0.364344  0.106828  0.143973  0.16853  
TIPS-CFR  0.221978  0.141841  0.0757108  -0.0104667  0.14231  0.0823084  0.371191  0.0774695  0.187421  0.120087  
CSPS-CFR  0.22603  0.1453  0.0743021  -0.0160023  0.253153  0.0819029  0.231668  0.0778496  0.179307  0.111298  
CFPS-CFR  0.200001  0.128746  0.0786471  -0.000934972  0.137857  0.0877197  0.36878  0.0809573  0.149913  0.120097  
CFPS-CFR_EX+IN  0.146395  0.140096  0.0820789  0.0072782  0.142035  0.0781703  0.372026  0.0864143  0.14773  0.165628  
TIPS-CFR_EX+IN  0.161775  0.139308  0.0845956  0.0111999  0.157868  0.0725492  0.386069  0.0861417  0.157577  0.125996  
BR  0.421709  0.43301  0.314165  0.250204  0.399014  0.338534  0.587298  0.324658  0.457277  0.531416  
t = 7
CFR  0.119092  0.0686375  0.0928222  0.144372  0.0414457  0.115809  0.199203  0.0989984  0.088911  0.178418  
CFR_EX+IN  0.149481  0.105404  0.0675093  0.127475  0.0880315  0.0996896  0.190855  0.0732554  0.109244  0.150923  
CFR_IN  0.216099  0.156489  0.0643919  0.0768377  0.113816  0.0635424  0.194264  0.062174  0.235525  0.14279  
A-CFR_IN  0.216241  0.167828  0.0495139  0.0641286  0.0970731  0.0557879  0.239791  0.0469407  0.14844  0.270147  
BPS-CFR  0.121543  0.0722897  0.0902603  0.143378  0.0560417  0.114897  0.20129  0.0967262  0.099771  0.143944  
TIPS-CFR  0.250894  0.155621  0.0483624  0.0632631  0.139798  0.0543279  0.219171  0.0489612  0.177817  0.120823  
CSPS-CFR  0.261232  0.153967  0.0516164  0.0614257  0.128645  0.0546294  0.171803  0.0507935  0.177343  0.101958  
CFPS-CFR  0.226797  0.159469  0.0583383  0.0718218  0.132287  0.0600685  0.219137  0.057217  0.253331  0.136194  
CFPS-CFR_EX+IN  0.157276  0.10838  0.0654753  0.128087  0.0995976  0.099517  0.192059  0.0728925  0.11551  0.139962  
TIPS-CFR_EX+IN  0.181802  0.104757  0.0632008  0.135823  0.112622  0.0960332  0.202937  0.0698128  0.11754  0.114896  
BR  0.39496  0.343091  0.234311  0.244444  0.255228  0.263421  0.436343  0.246834  0.363827  0.382833  
t = 8
CFR  -0.0848822  -0.0955144  0.10998  0.192046  -0.157223  0.203609  0.23512  0.141556  0.104193  0.129278  
CFR_EX+IN  -0.0772803  -0.0583987  0.0694112  0.1918  -0.144579  0.201472  0.223121  0.0980105  0.0958084  0.131943  
CFR_IN  -0.150111  -0.083641  0.0931493  0.0971565  -0.140352  0.087449  0.225427  0.0911529  0.0941257  0.0651605  
A-CFR_IN  -0.150695  -0.0712709  0.072545  0.0818414  -0.123583  0.079336  0.204962  0.0791921  0.099918  0.127361  
BPS-CFR  -0.0798308  -0.0828626  0.104249  0.192046  -0.146275  0.207005  0.22547  0.137146  0.0950593  0.128446  
TIPS-CFR  -0.149011  -0.0804988  0.0700171  0.0805182  -0.140396  0.0794695  0.220942  0.0780694  0.0739909  0.0735803  
CSPS-CFR  -0.148523  -0.0803132  0.0774351  0.0778607  -0.198435  0.0771871  0.168879  0.0794719  0.0525488  0.121231  
CFPS-CFR  -0.149186  -0.0809244  0.0837491  0.0900429  -0.137904  0.0835516  0.220419  0.0856844  0.071201  0.0665065  
CFPS-CFR_EX+IN  -0.0723374  -0.0493183  0.0652159  0.192046  -0.14212  0.207165  0.2165  0.0992387  0.0837312  0.123254  
TIPS-CFR_EX+IN  -0.065973  -0.0410422  0.0607005  0.192046  -0.136566  0.205636  0.254751  0.0962544  0.0462353  0.0937787  
BR  0.112958  0.135462  0.249246  0.235442  0.146002  0.232777  0.405191  0.239873  0.312987  0.272815  
t = 9
CFR  -0.153103  -0.154474  0.1  0.125717  -0.12929  0.161583  0.152063  0.1  0.0957659  0.0789723  
CFR_EX+IN  -0.15214  -0.154102  0.1  0.125717  -0.136556  0.161583  0.146658  0.1  0.0774109  0.0771481  
CFR_IN  -0.238845  -0.154352  0.1  0.0989766  -0.10691  0.106062  0.138471  0.1  0.0433152  0.0609646  
A-CFR_IN  -0.238417  -0.189917  0.1  0.0936977  -0.0763507  0.0949291  0.162687  0.1  0.044051  0.0324798  
BPS-CFR  -0.150684  -0.150596  0.1  0.125717  -0.134449  0.161583  0.153144  0.1  0.076545  0.0727655  
TIPS-CFR  -0.230519  -0.135018  0.1  0.0933562  -0.13573  0.090215  0.156028  0.1  0.0522086  0.0451902  
CSPS-CFR  -0.22681  -0.128123  0.1  0.0920775  -0.0633512  0.0924159  0.151409  0.1  0.0314224  0.0901902  
CFPS-CFR  -0.228313  -0.146465  0.1  0.0962253  -0.119733  0.100682  0.138593  0.1  0.0369788  0.0601961  
CFPS-CFR_EX+IN  -0.149053  -0.142813  0.1  0.125717  -0.134128  0.161583  0.147466  0.1  0.0637939  0.0756181  
TIPS-CFR_EX+IN  -0.138052  -0.136461  0.1  0.125717  -0.132209  0.161583  0.168312  0.1  0.0481028  0.0791664  
BR  0.136683  0.137026  0.258333  0.250571  0.20626  0.245287  0.416905  0.258333  0.333335  0.362225  
t = 10
CFR  -0.148247  -0.126652  0.1  0.1  -0.0129677  0.1  0.100287  0.1  -0.0156209  0.075  
CFR_EX+IN  -0.145324  -0.154606  0.1  0.1  -0.035172  0.1  0.0942892  0.1  -0.0051096  0.075  
CFR_IN  -0.139746  -0.182372  0.1  0.1  0.0011367  0.1  0.103917  0.1  -0.0348902  0.0622413  
A-CFR_IN  -0.0959911  -0.19916  0.1  0.1  0.147978  0.1  0.107933  0.1  0.0856632  0.0233206  
BPS-CFR  -0.145045  -0.150342  0.1  0.1  -0.0431831  0.1  0.104341  0.1  -0.0285969  0.0735931  
TIPS-CFR  -0.136302  -0.172025  0.103443  0.101596  -0.0143261  0.1  0.111966  0.1  0.00932516  0.0585163  
CSPS-CFR  -0.133701  -0.166014  0.110978  0.102097  0.000626756  0.1  0.124423  0.1  0.00773564  0.075  
CFPS-CFR  -0.133399  -0.174916  0.1  0.1  0.00146628  0.1  0.102801  0.1  -0.0182734  0.0641803  
CFPS-CFR_EX+IN  -0.1409  -0.16136  0.1  0.1  -0.0593281  0.1  0.096729  0.1  -0.0155638  0.075  
TIPS-CFR_EX+IN  -0.133041  -0.167882  0.118434  0.105062  -0.0786599  0.1  0.158549  0.1  -0.0232216  0.075  
BR  0.136683  0.0978652  0.258333  0.258333  0.237622  0.258333  0.355982  0.258333  0.255347  0.375  
t = 11
CFR  -0.163903  -0.167737  0.108316  0.108527  0.0208449  0.1  0.0563792  0.1  -0.177985  0.106384  
CFR_EX+IN  -0.158317  -0.166763  0.107753  0.106  0.0382278  0.1  0.0489124  0.100105  -0.132356  0.0785901  
CFR_IN  -0.148052  -0.181725  0.104202  0.100604  0.0459108  0.1  0.0674837  0.1  -0.0836231  0.0194779  
A-CFR_IN  -0.126004  -0.204803  0.0921046  0.1  0.102199  0.1  0.0585143  0.1  -0.0921759  -0.0138373  
BPS-CFR  -0.159387  -0.167432  0.109288  0.108186  0.0137746  0.1  0.0535013  0.100127  -0.173527  0.101309  
TIPS-CFR  -0.219983  -0.207889  0.105179  0.109254  0.0225258  0.1  0.0706206  0.107722  -0.0731317  0.0188456  
CSPS-CFR  -0.152908  -0.149155  0.132249  0.124396  0.0456258  0.1  0.0926143  0.122663  -0.071611  0.0218109  
CFPS-CFR  -0.149172  -0.182389  0.104846  0.101218  0.0465965  0.1  0.0703642  0.1  -0.0832595  0.0194779  
CFPS-CFR_EX+IN  -0.153203  -0.158751  0.107832  0.105169  0.029368  0.1  0.0446193  0.10015  -0.126658  0.0742777  
TIPS-CFR_EX+IN  -0.151799  -0.158116  0.139484  0.127246  0.0209697  0.1  0.114308  0.12559  -0.119216  0.0800475  
BR  0.139503  0.167603  0.285458  0.258333  0.241681  0.258333  0.301357  0.258333  0.137026  0.319478  
t = 12
CFR  -0.165971  -0.103409  0.124393  0.131675  0.0695143  0.0957488  0.00456404  0.122366  -0.137299  0.120907  
CFR_EX+IN  -0.112319  0.000538992  0.124429  0.127808  0.0830278  0.0957543  -0.00895876  0.108335  -0.152593  0.0862469  
CFR_IN  0.0637014  0.0304419  0.118146  0.114533  0.0707188  0.0958982  0.0124837  0.107721  -0.218806  -0.0435343  
A-CFR_IN  0.0481048  0.0279183  0.0828005  0.1  0.0690303  0.0958982  0.000883399  0.088225  -0.188229  -0.0688291  
BPS-CFR  -0.15966  -0.109928  0.124244  0.129112  0.0705714  0.0960923  -0.00754296  0.118257  -0.150868  0.118085  
TIPS-CFR  0.0442596  0.0336629  0.113368  0.126243  0.0603228  0.101822  0.0344446  0.107738  -0.207175  0.014008  
CSPS-CFR  0.0618842  0.0412863  0.206868  0.15171  0.0589242  0.11474  0.0453023  0.140079  -0.203212  0.0157202  
CFPS-CFR  0.0638136  0.0302942  0.117299  0.113596  0.0607376  0.0958982  0.0212373  0.107374  -0.217966  -0.0473229  
