learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
CSPS-CFR  0.368702  0.285854  0.148619  0.146245  0.315121  0.149035  0.275915  0.146038  0.507807  0.430514  
CFPS-CFR  0.350732  0.302927  0.116051  0.118097  0.236592  0.12704  0.295903  0.122477  0.47556  0.533349  
CFPS-CFR_EX+IN  0.362904  0.293148  0.139488  0.140105  0.31986  0.13976  0.284493  0.137451  0.470389  0.453914  
TIPS-CFR_EX+IN  0.359482  0.294827  0.139844  0.140341  0.324334  0.139952  0.285066  0.137662  0.46726  0.451668  
BR  0.80928  0.790967  0.432138  0.409472  0.783069  0.445648  0.675202  0.444418  1.2738  1.24427  
t = 7
CFR  0.234459  0.206848  0.107597  0.087076  0.246397  0.120583  0.12985  0.115089  0.27369  0.259661  
CFR_EX+IN  0.240747  0.242196  0.0679534  0.0543771  0.217281  0.082826  0.259284  0.0781343  0.40909  0.244551  
CFR_IN  0.25323  0.261214  0.0857783  0.0899572  0.175579  0.0953187  0.249958  0.0902394  0.348743  -0.441395  
A-CFR_IN  0.211041  0.130442  0.0712964  0.0797015  0.210311  0.0773919  0.0714028  0.0746271  0.530403  -0.303348  
BPS-CFR  0.269529  0.247102  0.106388  0.0789198  0.278638  0.118726  0.162638  0.113454  0.270795  0.26195  
TIPS-CFR  0.26701  0.26067  0.072738  0.0832036  0.276253  0.0838935  0.220266  0.0789099  0.349465  -0.441444  
CSPS-CFR  0.268547  0.251693  0.0712307  0.0598892  0.276565  0.0855043  0.227205  0.0810619  0.249151  0.248148  
CFPS-CFR  0.266689  0.260266  0.077723  0.0862157  0.260724  0.088773  0.220288  0.0837897  0.349469  -0.441444  
CFPS-CFR_EX+IN  0.271528  0.255594  0.0635316  0.0466842  0.276391  0.0780902  0.277256  0.0737966  0.251002  0.251791  
TIPS-CFR_EX+IN  0.271934  0.25567  0.0637582  0.049531  0.277516  0.0780281  0.27638  0.0737195  0.251029  0.251677  
BR  0.559062  0.841292  0.30795  0.334811  0.696994  0.332353  0.693478  0.326126  0.767086  0.755336  
t = 8
CFR  0.223911  0.358724  0.0788802  0.123352  0.185055  0.124534  0.191624  0.119458  0.341043  0.328501  
CFR_EX+IN  0.25985  0.289972  0.0349056  0.0897958  0.177324  0.0850759  0.167294  0.0804974  0.421293  0.275369  
CFR_IN  0.269743  0.407814  0.0842918  0.0849884  0.18366  0.0933249  0.145176  0.0878499  0.390882  0.187101  
A-CFR_IN  0.0453292  0.424119  0.0654099  0.0766175  0.286693  0.0744357  0.279735  0.0719762  0.676986  0.432887  
BPS-CFR  0.261119  0.331116  0.0755866  0.120774  0.166393  0.124792  0.156707  0.119705  0.288338  0.250872  
TIPS-CFR  0.266552  0.409625  0.0610804  0.0784061  0.198662  0.0767141  0.145238  0.0712329  0.459018  0.186997  
CSPS-CFR  0.263151  0.33466  0.0356196  0.0948884  0.175529  0.0926717  0.160816  0.088487  0.267978  0.322648  
CFPS-CFR  0.270206  0.408734  0.0689991  0.0813261  0.189915  0.0828218  0.14524  0.0774118  0.389926  0.186997  
CFPS-CFR_EX+IN  0.26576  0.304971  0.0325005  0.0881702  0.18342  0.0860547  0.165829  0.0816737  0.263184  0.245002  
TIPS-CFR_EX+IN  0.264737  0.302559  0.032806  0.0902033  0.186839  0.0859701  0.16507  0.0815644  0.263235  0.245017  
BR  0.614902  0.889441  0.275633  0.279327  0.514176  0.256397  0.81771  0.259022  0.752335  0.685101  
t = 9
CFR  0.16305  0.212275  0.093534  0.16762  0.162767  0.148788  0.203734  0.131205  0.360158  0.343821  
CFR_EX+IN  0.173016  0.17742  0.0408623  0.147347  0.161968  0.132532  0.193206  0.116434  0.377636  0.230573  
CFR_IN  -0.125833  0.187204  0.1  0.0885124  0.152311  0.138043  0.130725  0.121086  0.55032  0.35753  
A-CFR_IN  -0.078352  0.322429  0.1  0.0790867  0.253722  0.0920287  0.249975  0.0814875  0.55899  0.355091  
BPS-CFR  0.171526  0.167144  0.089096  0.16657  0.140994  0.148788  0.17181  0.131205  0.337811  0.261747  
TIPS-CFR  -0.153171  0.187204  0.1  0.0767283  0.0942354  0.0902424  0.117702  0.0733001  0.520659  0.304033  
CSPS-CFR  0.178469  0.171711  0.0282492  0.148529  0.141681  0.141652  0.162575  0.124783  0.265371  0.335356  
CFPS-CFR  -0.146677  0.187204  0.1  0.0828722  0.0944375  0.110626  0.118464  0.0937591  0.496212  0.304028  
CFPS-CFR_EX+IN  0.186223  0.178941  0.0357227  0.14909  0.134722  0.137526  0.153702  0.121172  0.260213  0.219238  
TIPS-CFR_EX+IN  0.184952  0.178498  0.0393451  0.155461  0.132712  0.138414  0.149362  0.122288  0.261708  0.217975  
BR  0.505751  0.82059  0.3  0.257641  0.432054  0.279732  1.02067  0.286701  0.653901  0.589796  
t = 10
CFR  0.135422  0.59875  0.0959524  0.1  0.149609  0.1  0.172317  0.1  0.159775  0.210783  
CFR_EX+IN  0.0943062  0.443754  0.0968664  0.102209  0.150361  0.1  0.156061  0.1  0.156309  0.132862  
CFR_IN  0.0696444  0.187076  0.109444  0.1  0.153114  0.1  0.14465  0.1  0.289361  0.112509  
A-CFR_IN  0.212661  0.290786  0.0964804  0.1  0.205464  0.1  0.188551  0.1  0.278402  0.102028  
BPS-CFR  0.0794987  0.409188  0.0965214  0.1  0.137964  0.1  0.148351  0.1  0.163767  0.121234  
TIPS-CFR  0.0696056  0.213776  0.108108  0.1  0.118102  0.1  0.123122  0.1  0.286584  0.102388  
CSPS-CFR  0.0856252  0.388043  0.105716  0.100703  0.14227  0.1  0.14429  0.1  0.123182  0.166826  
CFPS-CFR  0.069606  0.251556  0.110064  0.1  0.121784  0.1  0.127356  0.1  0.283258  0.100015  
CFPS-CFR_EX+IN  0.0938822  0.291931  0.0996424  0.102082  0.134857  0.1  0.141162  0.1  0.156747  0.146215  
TIPS-CFR_EX+IN  0.0927504  0.295666  0.108033  0.108987  0.132884  0.1  0.139942  0.100393  0.15722  0.138599  
BR  0.410895  1.28632  0.331931  0.299  0.499731  0.299081  0.560557  0.298963  0.361097  0.391143  
t = 11
CFR  0.12643  1.10873  0.115967  0.1  0.137644  0.0983758  0.175032  0.0954833  0.188345  0.208084  
CFR_EX+IN  0.11696  1.05963  0.125331  0.103201  0.134002  0.0984431  0.150611  0.0966669  0.210612  0.202111  
CFR_IN  0.0875399  0.327358  0.122569  0.1  0.153839  0.107678  0.145466  0.110867  0.288941  0.0682121  
A-CFR_IN  0.190091  0.365515  0.157634  0.1  0.172411  0.0987866  0.139882  0.095399  0.238702  0.00852517  
BPS-CFR  0.106866  1.05204  0.119143  0.1  0.122105  0.0988369  0.145501  0.0963746  0.150115  0.164923  
TIPS-CFR  0.0386471  0.244156  0.14878  0.106893  0.120753  0.106055  0.138685  0.108166  0.28423  0.0616917  
CSPS-CFR  0.107524  1.06426  0.16819  0.121225  0.12824  0.12738  0.154428  0.132063  0.146018  0.186076  
CFPS-CFR  0.0408067  0.347565  0.125844  0.1  0.123301  0.107938  0.141838  0.111235  0.281267  0.0605241  
CFPS-CFR_EX+IN  0.105594  0.894186  0.124488  0.103216  0.121129  0.0988484  0.140327  0.100325  0.171801  0.147541  
TIPS-CFR_EX+IN  0.10385  0.929502  0.169259  0.133948  0.119556  0.118725  0.13963  0.127969  0.172306  0.144105  
BR  0.388179  1.86839  0.376305  0.299  0.539506  0.319832  0.54834  0.336201  0.454346  0.399588  
t = 12
CFR  0.119632  1.28357  0.1704  0.112969  0.1  0.106961  0.168792  0.105114  0.186353  0.162458  
