learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
TIPS-EFR_EX+IN  (-0.00771553, 39)  (-0.000557536, 57)  (0.0250842, 63)  (0.110535, 48)  (-0.00371107, 46)  (0.0373981, 73)  (0.0375901, 63)  (0.0255809, 61)  (0.00114497, 61)  (5.85469e-18, 69)  (-0.0369383, 71)  
BEHAV-EFR  (0.205404, 26)  (0.1762, 61)  (0.0794343, 52)  (0.16539, 47)  (0.205162, 25)  (0.069605, 58)  (0.140874, 54)  (0.0731987, 51)  (0.174787, 60)  (0.172194, 63)  (2.1684e-17, 56.5)  
t = 4
CFR  (-1.16552e-18, 32.5)  (0.0262363, 51)  (0.280503, 19)  (0.314509, 39)  (0.00189838, 36)  (0.354738, 33)  (0.255864, 46)  (0.294799, 21)  (0.0258857, 50)  (0.0276158, 56)  (1, 18)  
CFR_EX+IN  (-0.00134416, 36)  (7.53521e-18, 59.5)  (0.328694, 47)  (0.333555, 53)  (0.00212278, 53)  (0.332388, 60)  (0.190433, 65)  (0.329636, 55)  (0.00227894, 71)  (0.00172722, 65)  (0.363737, 60)  
CFR_IN  (0.193726, 10)  (0.147148, 49)  (1.27123e-17, 51)  (0.127508, 58)  (0.195208, 19)  (-0.000683851, 69)  (0.170327, 72)  (0.00278324, 64)  (0.145513, 54)  (0.148539, 69)  (0.0132701, 67)  
A-EFR_IN  (0.0306406, 30)  (-0.0623263, 60)  (-0.0272459, 48)  (1.38778e-17, 54.5)  (0.0187707, 48)  (-0.0232374, 57)  (0.0102823, 65)  (-0.0613107, 56)  (-0.081053, 61)  (-0.066494, 64)  (-0.0426386, 57)  
BPS-EFR  (-0.000155566, 33)  (0.0292881, 61)  (0.282805, 34)  (0.310644, 52)  (-4.66207e-18, 48)  (0.355291, 16)  (0.261754, 57)  (0.294885, 24)  (0.0276805, 64)  (0.0294197, 63)  (1, 8)  
TIPS-EFR  (0.228431, 11)  (0.150324, 46)  (0.00470153, 48)  (0.136475, 52)  (0.232129, 18)  (6.93889e-18, 67.5)  (0.168885, 68)  (0.00674105, 59)  (0.142426, 54)  (0.146026, 65)  (0.00920908, 67)  
CSPS-EFR  (0.294202, 17)  (0.170372, 49)  (-0.048897, 47)  (0.0495913, 56)  (0.315741, 28)  (-0.0462941, 64)  (2.31274e-17, 67.5)  (-0.0481423, 49)  (0.199063, 52)  (0.208745, 60)  (-0.00509851, 68)  
CFPS-EFR  (0.191819, 11)  (0.154305, 49)  (-0.00252438, 45)  (0.133878, 53)  (0.192724, 18)  (-0.00273481, 67)  (0.16785, 67)  (9.2496e-18, 56.5)  (0.145444, 55)  (0.148147, 68)  (0.01167, 69)  
CFPS-EFR_EX+IN  (-0.0049645, 31)  (-0.00170852, 56)  (0.327876, 46)  (0.332639, 52)  (-0.00227385, 50)  (0.321851, 58)  (0.188817, 56)  (0.32155, 47)  (-1.73472e-18, 64.5)  (-0.000403823, 65)  (0.362365, 60)  
