learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
TIPS-CFR  0.327417  0.336216  0.183516  0.132308  0.355132  0.17805  1.03748  0.180602  0.301618  0.413578  0.17805  
CSPS-CFR  0.334891  0.335928  0.193556  0.139368  0.355209  0.19056  0.814107  0.187295  0.319872  0.427384  0.190581  
CFPS-CFR  0.338453  0.33698  0.183285  0.135432  0.355131  0.177759  0.813198  0.180323  0.301633  0.413225  0.177759  
CFPS-CFR_EX+IN  0.370835  0.335232  0.256415  0.170183  0.34874  0.251945  1.04646  0.254448  0.349777  0.419736  0.251945  
TIPS-CFR_EX+IN  0.425788  0.335932  0.202511  0.151187  0.346999  0.198113  0.631397  0.200464  0.356357  0.402886  0.198113  
BEHAV-CFR  0.326412  0.335474  0.183516  0.132308  0.35452  0.17805  0.959703  0.180602  0.30022  0.413105  0.17805  
BR  0.632301  0.68072  0.959551  0.641489  0.657665  0.987855  2.17697  0.974399  0.798341  0.863352  0.987855  
t = 6
CFR  0.295431  0.378064  0.199899  0.0697789  0.386174  0.18307  0.592111  0.195996  0.319263  -0.00412946  0.18308  
CFR_EX+IN  0.305634  0.379721  0.155809  0.0277628  0.429432  0.151314  0.588593  0.155858  0.337224  0.149666  0.151322  
CFR_IN  0.271335  0.350945  0.122799  0.055103  0.519943  0.116571  0.570516  0.1308  0.3561  0.226767  0.11657  
A-CFR_IN  0.344528  0.257502  0.108413  0.0510057  0.366029  0.0829781  0.465882  0.121758  0.154514  0.478972  0.0829776  
BPS-CFR  0.293542  0.40882  0.19453  0.0644754  0.425065  0.179982  0.62941  0.189123  0.347803  -0.00413755  0.179992  
TIPS-CFR  0.295369  0.395945  0.105663  0.0396148  0.512296  0.096255  0.552795  0.11233  0.457645  0.2175  0.0962549  
CSPS-CFR  0.283297  0.397417  0.109752  0.0249231  0.524788  0.12851  0.58773  0.114642  0.377603  0.212265  0.127886  
CFPS-CFR  0.280542  0.398773  0.116051  0.0489033  0.522301  0.106969  0.571773  0.122477  0.361153  0.228422  0.106969  
CFPS-CFR_EX+IN  0.313124  0.407067  0.139488  0.0162171  0.461245  0.134691  0.60565  0.137451  0.371322  0.156434  0.134697  
TIPS-CFR_EX+IN  0.361572  0.377035  0.115017  0.00843237  0.461863  0.108585  0.559033  0.108354  0.369802  0.18691  0.10859  
BEHAV-CFR  0.298959  0.391493  0.105663  0.0396153  0.510193  0.096255  0.53873  0.11233  0.379549  0.216683  0.0962548  
BR  0.730573  0.741897  0.432138  0.291887  0.811901  0.474403  1.15234  0.444418  0.888951  0.608883  0.485012  
t = 7
CFR  0.227222  0.481529  0.107598  0.0739656  0.496903  0.141386  0.237578  0.115089  0.191199  0.26092  0.141393  
CFR_EX+IN  0.237256  0.488162  0.0679534  0.0546457  0.540723  0.104404  0.35934  0.0781343  0.293859  0.264239  0.104563  
CFR_IN  0.245662  0.552137  0.0857783  0.0733258  0.611021  0.108338  0.423135  0.0902394  0.632501  0.229063  0.10835  
A-CFR_IN  0.1546  0.347945  0.0739223  0.063938  0.458543  0.0814272  0.440975  0.0746157  0.503154  0.54223  0.0814532  
BPS-CFR  0.259566  0.503462  0.106388  0.0741433  0.501566  0.138758  0.202352  0.113454  0.233625  0.250529  0.138765  
