learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
CSPS-CFR  20.5964  20.5903  20.6354  20.6202  20.5963  20.6219  20.6395  20.6357  20.5907  20.5857  20.6426  
CFPS-CFR  20.5954  20.6002  20.6306  20.6249  20.5955  20.6412  20.6357  20.6397  20.6002  20.5986  20.6591  
CFPS-CFR_EX+IN  20.5515  20.5584  20.5868  20.5936  20.5532  20.5863  20.5907  20.6002  20.5599  20.5593  20.5863  
TIPS-CFR_EX+IN  20.5507  20.5578  20.5851  20.5893  20.5522  20.5846  20.5857  20.5986  20.5593  20.5588  20.5846  
BEHAV-CFR  20.5867  20.5863  20.6268  20.6371  20.5868  20.6354  20.6424  20.6494  20.5863  20.5846  20.6449  
t = 9
CFR  20.5577  20.5623  20.5956  20.5948  20.559  20.5977  20.6028  20.6021  20.5635  20.5626  20.5977  
CFR_EX+IN  20.5623  20.5676  20.5955  20.5994  20.564  20.594  20.6008  20.6068  20.5691  20.5684  20.594  
CFR_IN  20.5956  20.5955  20.6511  20.6064  20.5956  20.6527  20.6453  20.6541  20.5955  20.5959  20.6531  
A-CFR_IN  20.5948  20.5994  20.6064  20.642  20.5947  20.6479  20.635  20.6368  20.5994  20.5978  20.6461  
BPS-CFR  20.559  20.564  20.5956  20.5947  20.5604  20.5977  20.6027  20.6021  20.5653  20.5643  20.5977  
TIPS-CFR  20.5977  20.594  20.6527  20.6479  20.5977  20.6562  20.6563  20.6275  20.5941  20.5921  20.6562  
CSPS-CFR  20.6028  20.6008  20.6453  20.635  20.6027  20.6563  20.6564  20.6517  20.6016  20.5945  20.6577  
CFPS-CFR  20.6021  20.6068  20.6541  20.6368  20.6021  20.6275  20.6517  20.6571  20.6069  20.6071  20.655  
CFPS-CFR_EX+IN  20.5635  20.5691  20.5955  20.5994  20.5653  20.5941  20.6016  20.6069  20.5706  20.5699  20.5941  
TIPS-CFR_EX+IN  20.5626  20.5684  20.5959  20.5978  20.5643  20.5921  20.5945  20.6071  20.5699  20.5692  20.5921  
BEHAV-CFR  20.5977  20.594  20.6531  20.6461  20.5977  20.6562  20.6569  20.655  20.5941  20.5921  20.6568  
t = 10
CFR  20.5667  20.5699  20.6125  20.5996  20.5683  20.6067  20.6076  20.6154  20.5713  20.5705  20.6067  
CFR_EX+IN  20.5699  20.573  20.6109  20.6012  20.5716  20.606  20.6087  20.6184  20.5747  20.5738  20.606  
CFR_IN  20.6125  20.6109  20.6587  20.643  20.6139  20.6587  20.6574  20.6587  20.6114  20.6121  20.6587  
A-CFR_IN  20.5996  20.6012  20.643  20.6429  20.6057  20.6508  20.6483  20.6386  20.6097  20.6104  20.6508  
BPS-CFR  20.5683  20.5716  20.6139  20.6057  20.5698  20.6147  20.6128  20.6168  20.5731  20.5722  20.6147  
TIPS-CFR  20.6067  20.606  20.6587  20.6508  20.6147  20.6587  20.6587  20.6584  20.6079  20.6072  20.6587  
CSPS-CFR  20.6076  20.6087  20.6574  20.6483  20.6128  20.6587  20.6587  20.6587  20.6145  20.6107  20.6468  
CFPS-CFR  20.6154  20.6184  20.6587  20.6386  20.6168  20.6584  20.6587  20.6587  20.6189  20.6195  20.6587  
CFPS-CFR_EX+IN  20.5713  20.5747  20.6114  20.6097  20.5731  20.6079  20.6145  20.6189  20.5763  20.5754  20.6079  
TIPS-CFR_EX+IN  20.5705  20.5738  20.6121  20.6104  20.5722  20.6072  20.6107  20.6195  20.5754  20.5745  20.6072  
BEHAV-CFR  20.6067  20.606  20.6587  20.6508  20.6147  20.6587  20.6468  20.6587  20.6079  20.6072  20.6579  
t = 11
CFR  20.5719  20.5755  20.621  20.6099  20.5738  20.6187  20.6172  20.621  20.5772  20.5762  20.6187  
CFR_EX+IN  20.5755  20.5793  20.6236  20.6124  20.5776  20.6171  20.6252  20.6255  20.5809  20.5802  20.6171  
CFR_IN  20.621  20.6236  20.6587  20.6507  20.621  20.6587  20.6587  20.6587  20.6236  20.6236  20.6587  
A-CFR_IN  20.6099  20.6124  20.6507  20.6429  20.6131  20.6508  20.6495  20.6386  20.6145  20.6145  20.6508  
BPS-CFR  20.5738  20.5776  20.621  20.6131  20.5757  20.621  20.621  20.621  20.5794  20.5784  20.621  
TIPS-CFR  20.6187  20.6171  20.6587  20.6508  20.621  20.6587  20.6587  20.6587  20.6171  20.6171  20.6587  
CSPS-CFR  20.6172  20.6252  20.6587  20.6495  20.621  20.6587  20.6587  20.6587  20.6254  20.6202  20.6587  
CFPS-CFR  20.621  20.6255  20.6587  20.6386  20.621  20.6587  20.6587  20.6587  20.6255  20.6255  20.6587  
CFPS-CFR_EX+IN  20.5772  20.5809  20.6236  20.6145  20.5794  20.6171  20.6254  20.6255  20.5826  20.5818  20.6171  
