learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (-12.3294, 467)  (-12.3294, 242)  (-12.3294, 259)  (-12.3294, 266)  (-12.3294, 297)  (-12.3294, 287)  (-12.3294, 287)  (-12.3294, 302)  (-12.3294, 311)  (-12.3294, 314)  (-12.3294, 327)  
A-EFR_IN  (19.5245, 19)  (19.586, 52)  (20.0844, 48)  (20.1851, 46)  (19.5631, 20)  (20.0926, 50)  (19.9008, 47)  (20.0889, 47)  (19.6373, 53)  (19.6388, 53)  (20.0988, 49)  
BPS-EFR  (19.3262, 15)  (19.404, 47)  (19.8152, 44)  (19.9263, 41)  (19.3552, 17)  (19.8206, 44)  (19.6448, 42)  (19.8191, 41)  (19.4384, 46)  (19.4399, 49)  (19.8213, 44)  
TIPS-EFR  (19.5027, 21)  (19.576, 55)  (20.114, 52)  (20.1833, 49)  (19.5415, 23)  (20.1222, 52)  (19.9244, 51)  (20.1184, 49)  (19.6299, 54)  (19.6307, 56)  (20.1284, 53)  
CSPS-EFR  (19.4559, 21)  (19.5279, 54)  (20.1183, 51)  (20.2068, 49)  (19.4933, 22)  (20.122, 52)  (19.9287, 50)  (20.1211, 49)  (19.578, 55)  (19.5801, 55)  (20.122, 53)  
CFPS-EFR  (19.5029, 20)  (19.5763, 53)  (20.1103, 51)  (20.1833, 48)  (19.5416, 22)  (20.1184, 51)  (19.9175, 49)  (20.1147, 49)  (19.6303, 54)  (19.6311, 56)  (20.1247, 52)  
CFPS-EFR_EX+IN  (19.3794, 20)  (19.4588, 55)  (19.9121, 51)  (20.0211, 48)  (19.4106, 22)  (19.9175, 52)  (19.7308, 50)  (19.9158, 50)  (19.4962, 54)  (19.4976, 56)  (19.9185, 52)  
TIPS-EFR_EX+IN  (19.3803, 21)  (19.4601, 56)  (19.9177, 52)  (20.0233, 50)  (19.4114, 24)  (19.9231, 54)  (19.7352, 51)  (19.9214, 50)  (19.4974, 56)  (19.499, 57)  (19.9242, 54)  
BEHAV-EFR  (19.505, 21)  (19.5721, 55)  (20.1202, 53)  (20.1851, 49)  (19.5437, 23)  (20.1284, 53)  (19.9347, 52)  (20.1246, 51)  (19.6265, 55)  (19.6286, 58)  (20.1346, 54)  
BR  (19.9751, 11)  (20.0843, 29)  (20.3274, 26)  (20.4733, 26)  (20.0092, 11)  (20.3669, 27)  (20.1613, 26)  (20.3629, 26)  (20.1102, 30)  (20.1107, 31)  (20.4027, 27)  
t = 4
