learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
BPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
TIPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CSPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CFPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CFPS-CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
TIPS-CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
BEHAV-CFR  8  8  8  8  8  8  8  8  8  8  8  
BR  8  8  8.41028  8.41028  8  8.41028  8.41028  8.41028  8  8  8.41028  
t = 13
CFR  8  8  8  8  8  8  8  8  8  8  8  
CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
CFR_IN  8  8  8  8  8  8  8  8  8  8  8  
A-CFR_IN  8  8  8  8  8  8  8  8  8  8  8  
BPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
TIPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CSPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CFPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CFPS-CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
TIPS-CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
BEHAV-CFR  8  8  8  8  8  8  8  8  8  8  8  
BR  8  8  8.52537  8.52537  8  8.52537  8.52537  8.52537  8  8  8.52537  
t = 14
CFR  8  8  8  8  8  8  8  8  8  8  8  
CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
CFR_IN  8  8  8  8  8  8  8  8  8  8  8  
A-CFR_IN  8  8  8  8  8  8  8  8  8  8  8  
BPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
TIPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CSPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CFPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CFPS-CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
TIPS-CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
BEHAV-CFR  8  8  8  8  8  8  8  8  8  8  8  
BR  8  8  8.52537  8.52537  8  8.52537  8.52537  8.52537  8  8  8.52537  
t = 15
CFR  8  8  8  8  8  8  8  8  8  8  8  
CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
CFR_IN  8  8  8  8  8  8  8  8  8  8  8  
A-CFR_IN  8  8  8  8  8  8  8  8  8  8  8  
BPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
TIPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CSPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CFPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CFPS-CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
TIPS-CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
BEHAV-CFR  8  8  8  8  8  8  8  8  8  8  8  
BR  8  8  8.52537  8.52537  8  8.52537  8.52537  8.52537  8  8  8.52537  
t = 16
CFR  8  8  8  8  8  8  8  8  8  8  8  
CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
CFR_IN  8  8  8  8  8  8  8  8  8  8  8  
A-CFR_IN  8  8  8  8  8  8  8  8  8  8  8  
BPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
TIPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CSPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CFPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CFPS-CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
TIPS-CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
BEHAV-CFR  8  8  8  8  8  8  8  8  8  8  8  
BR  8  8  8.63851  8.63851  8  8.63851  8.63851  8.63851  8  8  8.63851  
t = 17
CFR  8  8  8.09262  8.09262  8  8.09262  8.09262  8.09262  8  8  8.09262  
CFR_EX+IN  8  8  8.11774  8.11774  8  8.11774  8.11774  8.11774  8  8  8.11774  
CFR_IN  8  8  8.4692  8.4692  8  8.4692  8.4692  8.4692  8  8  8.4692  
A-CFR_IN  8  8  8.4692  8.4692  8  8.4692  8.4692  8.4692  8  8  8.4692  
BPS-CFR  8  8  8.09262  8.09262  8  8.09262  8.09262  8.09262  8  8  8.09262  
TIPS-CFR  8  8  8.4692  8.4692  8  8.4692  8.4692  8.4692  8  8  8.4692  
CSPS-CFR  8  8  8.4692  8.4692  8  8.4692  8.4692  8.4692  8  8  8.4692  
CFPS-CFR  8  8  8.4692  8.4692  8  8.4692  8.4692  8.4692  8  8  8.4692  
CFPS-CFR_EX+IN  8  8  8.11774  8.11774  8  8.11774  8.11774  8.11774  8  8  8.11774  
TIPS-CFR_EX+IN  8  8  8.11774  8.11774  8  8.11774  8.11774  8.11774  8  8  8.11774  
BEHAV-CFR  8  8  8.4692  8.4692  8  8.4692  8.4692  8.4692  8  8  8.4692  
BR  8  8  8.88361  8.88361  8  8.88361  8.88361  8.88361  8  8  8.88361  
t = 18
CFR  8  8  8.3363  8.3363  8  8.3363  8.3363  8.3363  8  8  8.3363  
CFR_EX+IN  8  8  8.30982  8.30982  8  8.30982  8.30982  8.30982  8  8  8.30982  
CFR_IN  8  8  8.32916  8.32916  8  8.32916  8.32916  8.32916  8  8  8.32916  
A-CFR_IN  8  8  8.32916  8.32916  8  8.32916  8.32916  8.32916  8  8  8.32916  
BPS-CFR  8  8  8.3363  8.3363  8  8.3363  8.3363  8.3363  8  8  8.3363  
TIPS-CFR  8  8  8.32916  8.32916  8  8.32916  8.32916  8.32916  8  8  8.32916  
CSPS-CFR  8  8  8.32916  8.32916  8  8.32916  8.32916  8.32916  8  8  8.32916  
CFPS-CFR  8  8  8.32916  8.32916  8  8.32916  8.32916  8.32916  8  8  8.32916  
CFPS-CFR_EX+IN  8  8  8.30982  8.30982  8  8.30982  8.30982  8.30982  8  8  8.30982  
TIPS-CFR_EX+IN  8  8  8.30982  8.30982  8  8.30982  8.30982  8.30982  8  8  8.30982  
BEHAV-CFR  8  8  8.32916  8.32916  8  8.32916  8.32916  8.32916  8  8  8.32916  
BR  8  8  8.92972  8.92972  8  8.92972  8.92972  8.92972  8  8  8.92972  
t = 19
CFR  8  8  9  9  8  9  9  9  8  8  9  
CFR_EX+IN  8  8  9  9  8  9  9  9  8  8  9  
CFR_IN  8  8  9  9  8  9  9  9  8  8  9  
A-CFR_IN  8  8  9  9  8  9  9  9  8  8  9  
BPS-CFR  8  8  9  9  8  9  9  9  8  8  9  
TIPS-CFR  8  8  9  9  8  9  9  9  8  8  9  
CSPS-CFR  8  8  9  9  8  9  9  9  8  8  9  
CFPS-CFR  8  8  9  9  8  9  9  9  8  8  9  
CFPS-CFR_EX+IN  8  8  9  9  8  9  9  9  8  8  9  
TIPS-CFR_EX+IN  8  8  9  9  8  9  9  9  8  8  9  
BEHAV-CFR  8  8  9  9  8  9  9  9  8  8  9  
BR  8  8  9  9  8  9  9  9  8  8  9  
t = 20
CFR  8  8  9  9  8  9  9  9  8  8  9  
CFR_EX+IN  8  8  9  9  8  9  9  9  8  8  9  
CFR_IN  8  8  9  9  8  9  9  9  8  8  9  
A-CFR_IN  8  8  9  9  8  9  9  9  8  8  9  
BPS-CFR  8  8  9  9  8  9  9  9  8  8  9  
TIPS-CFR  8  8  9  9  8  9  9  9  8  8  9  
CSPS-CFR  8  8  9  9  8  9  9  9  8  8  9  
