learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
A-CFR_IN  -0.104074  -0.2  0.097167  0.1  -0.348971  0.10718  -0.205378  0.1  0.0677822  0.0661609  
BPS-CFR  0.249814  0.200517  1.03176  0.312116  0.137964  0.86445  0.200712  0.861312  0.741845  1.34208  
TIPS-CFR  0.858611  0.985455  0.0995561  0.107809  0.871535  0.1  0.910762  0.1  0.796814  0.787538  
CSPS-CFR  0.224045  -0.0334629  0.974079  0.0443143  0.166659  0.805936  0.14429  0.816242  1.44268  1.32159  
CFPS-CFR  0.860882  1.00753  0.0982329  0.1  0.85965  0.1  0.915457  0.1  0.797533  0.78726  
CFPS-CFR_EX+IN  -0.0221036  0.266869  0.747835  -0.27401  0.527769  0.902256  0.333466  0.910036  0.156747  0.155612  
TIPS-CFR_EX+IN  -0.139357  0.472788  0.709222  -0.278087  0.347356  0.903714  0.784313  0.911118  0.149724  0.138599  
t = 11
CFR  0.12643  0.251422  0.732624  0.2703  0.123807  0.620952  0.120304  0.628575  0.0783391  0.0756653  
CFR_EX+IN  0.0799308  1.05963  0.71331  0.220562  0.130224  0.711457  0.145492  0.714165  0.335841  0.726842  
CFR_IN  0.385028  0.497892  0.122569  0.107107  1.41585  0.12181  1.38333  0.119979  0.44512  0.371634  
A-CFR_IN  -0.250043  -0.2  0.120582  0.1  -0.296322  0.084107  -0.2  0.0993523  0.079237  0.080229  
BPS-CFR  0.326079  0.20042  0.499911  0.230603  0.122105  0.396847  0.265824  0.393018  1.54333  0.588521  
TIPS-CFR  0.725399  0.615851  0.114173  0.16307  1.08012  0.106055  1.06257  0.110233  0.640156  0.647831  
CSPS-CFR  0.288892  0.28809  0.460573  0.11932  0.379018  0.374992  0.154428  0.37797  0.603605  1.50943  
CFPS-CFR  0.710303  0.621248  0.116225  0.10206  1.10518  0.107107  1.08546  0.111235  0.666358  0.691129  
CFPS-CFR_EX+IN  0.261197  0.447552  0.77404  -0.0863763  0.0484165  0.764607  0.321074  0.772471  0.171801  0.21675  
TIPS-CFR_EX+IN  0.255813  0.410687  0.726998  -0.0815954  0.294155  0.766413  0.319914  0.819931  0.0929639  0.144105  
t = 12
CFR  0.119632  0.089182  0.222165  0.351642  0.162712  0.169764  0.102339  0.172936  0.0449368  -0.0180041  
CFR_EX+IN  0.240628  1.29789  0.220977  0.318631  0.218742  0.370367  -0.0674802  0.364198  -0.0871914  0.368733  
CFR_IN  1.17177  1.0655  0.131439  0.152458  1.15898  0.0623722  1.18027  0.0628532  1.06098  1.03027  
A-CFR_IN  -0.349824  -0.2  0.089904  0.1  -0.247885  0.0997972  -0.2  0.107529  0.153921  0.148797  
BPS-CFR  0.172794  0.411055  0.283643  0.139784  0.1  0.384332  0.293196  0.403879  0.650519  0.768144  
TIPS-CFR  1.13561  0.849955  0.204656  0.180592  0.325914  0.146807  0.302529  0.151128  1.20011  1.20553  
CSPS-CFR  0.541634  0.504924  0.196317  0.272633  0.830428  0.380668  0.165639  0.410742  0.394618  0.32202  
CFPS-CFR  1.14093  0.865364  0.176117  0.11369  0.360158  0.119481  0.326113  0.120084  1.24249  1.30414  
CFPS-CFR_EX+IN  0.257329  0.922115  0.293656  0.143027  0.067544  0.274864  0.133082  0.248557  0.186422  0.188849  
TIPS-CFR_EX+IN  0.333127  0.408796  0.231014  0.14206  0.162488  0.270851  0.459697  0.283821  0.149186  0.163766  
t = 13
CFR  0.1  0.0914361  0.45779  0.1607  0.166089  0.365816  0.202269  0.374625  -0.0133525  -0.0574061  
CFR_EX+IN  0.279442  1.35375  0.143665  0.35  0.200418  0.157022  -0.00970706  0.151455  -0.1915  0.2513  
CFR_IN  0.431359  1.12229  0.181252  0.178745  0.304548  0.0158793  0.226796  0.0347263  1.20788  1.34673  
A-CFR_IN  -0.222289  -0.2  0.115705  0.1  -0.199105  0.0789514  -0.2  0.101279  0.104749  0.103639  
BPS-CFR  0.236484  0.825903  0.5305  0.100334  0.1  0.463071  0.429442  0.513307  0.584166  1.55039  
TIPS-CFR  0.255338  1.1788  0.241455  0.190898  0.527942  0.140666  0.523288  0.177248  1.15451  1.13039  
CSPS-CFR  0.159637  0.480464  0.423845  0.349458  0.186798  0.454337  0.289682  0.495696  0.528403  0.442006  
CFPS-CFR  0.264199  1.1908  0.189344  0.125526  0.567841  0.0599887  0.568987  0.0761282  1.15456  1.18124  
CFPS-CFR_EX+IN  0.286518  1.03247  0.129135  0.268382  0.0848211  0.199984  -0.0300418  0.190111  0.19645  0.14681  
TIPS-CFR_EX+IN  0.37718  0.322207  0.0968624  0.273746  -0.219185  0.210839  0.416318  0.206162  0.201942  0.162509  
t = 14
CFR  0.1  0.119199  0.357682  -0.00489105  0.190824  0.101271  0.233026  0.0935762  -0.0366898  -0.054269  
CFR_EX+IN  0.439989  1.11423  0.621715  0.324486  0.58771  0.527574  0.0600064  0.535558  -0.130274  0.606625  
CFR_IN  0.804889  0.230671  0.217131  0.193968  0.493182  0.167871  0.358449  0.155557  0.268281  0.270327  
A-CFR_IN  -0.0186637  -0.192329  0.135485  0.101426  -0.159466  0.199572  -0.2  0.131776  -0.0198965  -0.0214363  
BPS-CFR  0.277576  0.555156  0.708737  0.145643  0.130203  0.127294  0.431067  0.162242  1.26407  0.679264  
TIPS-CFR  0.945712  0.300387  0.215848  0.128096  0.949054  0.203726  0.901902  0.214041  0.302892  0.316374  
CSPS-CFR  0.173901  0.403538  0.621776  0.35  0.307038  0.144076  0.330432  0.151126  0.875497  0.765236  
CFPS-CFR  0.960207  0.306032  0.217833  0.162364  0.927522  0.133781  0.901475  0.160747  0.288862  0.309367  
CFPS-CFR_EX+IN  0.300419  0.798578  0.776647  0.307073  -0.197304  0.459538  -0.170591  0.488299  0.22209  0.166499  
TIPS-CFR_EX+IN  0.377898  0.039889  0.787869  0.304822  0.0181696  0.460802  0.367926  0.539595  0.225419  0.185878  
t = 15
CFR  0.1  0.199458  0.128048  -0.100652  0.133742  0.0615337  0.280238  0.0638175  0.0276206  0.0398712  
CFR_EX+IN  0.588064  1.14214  0.441263  0.215844  0.462168  0.246236  0.133417  0.265472  0.157572  0.688594  
CFR_IN  0.926816  0.580477  0.176777  0.197236  1.08507  0.25206  0.902487  0.177749  0.385726  0.362279  
A-CFR_IN  0.0671334  -0.0970868  0.159055  0.1  -0.0213994  0.354787  -0.191059  0.118096  -0.0799017  -0.0787973  
BPS-CFR  0.544493  0.789673  0.459774  0.0911689  0.163179  0.298001  0.34075  0.553048  0.666637  0.226134  
TIPS-CFR  0.993886  0.950858  0.200414  0.039254  0.848736  0.231775  0.72176  0.178297  0.517109  0.515866  
CSPS-CFR  0.281659  0.343284  0.203666  0.320504  0.423017  0.32823  0.369764  0.467062  0.505696  0.857103  
CFPS-CFR  0.992182  0.926246  0.209922  0.190274  1.07287  0.248653  0.661256  0.197308  0.530951  0.658183  
CFPS-CFR_EX+IN  0.251688  0.263882  0.967247  0.308303  -0.0775752  0.558342  -0.0725922  0.583076  0.178367  0.318588  
TIPS-CFR_EX+IN  0.326199  0.026418  0.999507  0.301304  0.166247  0.562147  0.329754  0.665762  0.112665  0.218196  
t = 16
CFR  0.0671116  0.326402  0.456277  -0.0707956  0.169371  0.573719  0.0531641  0.581838  0.0889163  0.10874  
CFR_EX+IN  0.603736  1.00919  0.197046  0.1  0.506874  0.20934  0.193887  0.209325  -0.0164196  0.830855  
CFR_IN  0.358158  0.881977  0.211402  0.198793  1.12877  0.611028  0.941782  0.222502  1.20094  1.05918  
A-CFR_IN  0.0690854  0.05  0.1761  0.101297  0.0270605  0.330644  -0.0613289  0.150849  -0.0892263  -0.0857677  
BPS-CFR  0.600533  1.35913  0.471794  0.124005  0.151888  0.914999  0.352752  1.09531  0.288926  1.01528  
TIPS-CFR  0.209709  0.871566  -0.124812  0.0441106  0.33798  0.236622  0.347392  0.122621  0.954321  0.983564  
CSPS-CFR  0.785404  0.304092  0.308817  0.177292  0.503656  0.882168  0.405038  1.14306  0.649995  1.50763  
CFPS-CFR  0.208559  0.866689  0.273164  0.200056  0.702179  0.34498  0.633457  0.225595  0.831183  1.11621  
CFPS-CFR_EX+IN  0.18945  0.824898  0.464299  0.282622  0.104977  0.300845  -0.218391  0.494351  0.145283  0.264222  
TIPS-CFR_EX+IN  0.277061  0.067005  0.425437  0.277903  -0.0696657  0.304375  -0.0810496  0.851177  0.0832941  0.196242  
t = 17
CFR  0.0370572  0.52504  0.933235  0.000742179  0.224033  0.763918  0.0626509  0.759002  0.156857  0.208601  
CFR_EX+IN  0.590727  0.934156  0.41743  0.158474  0.84313  1.15988  0.17142  1.1698  0.00957118  0.841057  
CFR_IN  0.284871  0.539346  0.177877  0.202366  0.671064  0.570773  0.384503  0.650109  1.2128  1.31621  
A-CFR_IN  0.0623128  -0.00611524  0.305876  0.107916  -0.00416564  0.175962  0.0441409  0.178538  -0.0876095  -0.0811858  
BPS-CFR  0.365881  0.965286  0.935054  0.15725  0.114738  0.890972  0.039121  1.15067  0.661112  1.09479  
TIPS-CFR  0.149516  0.572803  -0.167588  0.149994  0.55684  0.199697  0.620786  -0.0908709  0.927971  0.990843  
CSPS-CFR  0.792799  0.312533  0.95401  0.106212  0.950015  0.694023  0.393826  0.914835  0.241367  1.51986  
CFPS-CFR  0.157717  0.590551  -0.145653  0.201873  0.760978  0.532048  0.852695  0.247881  1.17438  1.49345  
CFPS-CFR_EX+IN  0.113719  0.907753  0.594962  0.266042  0.155435  0.328771  0.021404  0.578249  0.113151  0.149028  
TIPS-CFR_EX+IN  0.215991  0.140442  0.716881  0.262233  -0.0794506  0.359488  -0.0136534  0.644843  0.130749  0.16028  
t = 18
CFR  -0.016566  0.686659  0.985194  0.0660308  0.240543  0.619131  0.167286  0.656358  0.270243  0.260162  
CFR_EX+IN  0.671686  0.9008  0.922239  0.173981  0.711987  1.43866  0.14919  1.52691  0.149228  0.872602  
CFR_IN  0.546601  0.358665  0.133038  0.166044  0.772827  0.151466  0.568734  0.304212  0.871841  0.976596  
A-CFR_IN  0.0481527  -0.0202518  0.4093  0.101487  -0.0145033  0.0519487  0.00323715  0.215908  -0.0705433  -0.0569247  
BPS-CFR  0.266281  1.1613  1.23734  0.169068  0.0883734  0.862249  0.163108  1.06452  0.969842  0.782193  
TIPS-CFR  0.279862  0.747912  0.177048  0.202569  0.677027  0.169239  1.04302  0.203099  0.375164  0.313412  
CSPS-CFR  0.550678  0.297692  1.07995  0.149634  0.697768  0.460947  0.384098  0.526761  -0.000841894  0.306021  
CFPS-CFR  0.312833  0.745402  0.0768142  0.193739  0.809802  0.173935  1.38544  0.221146  0.751147  1.15247  
CFPS-CFR_EX+IN  -0.0109802  0.683481  0.930603  0.253485  0.0577963  0.884559  0.190029  0.970731  0.0832514  0.0497053  
TIPS-CFR_EX+IN  0.156877  0.242252  0.958572  0.248885  0.0505514  1.10516  0.608771  0.739775  0.179661  0.133224  
t = 19
CFR  -0.00458697  0.959365  1.04206  0.10983  0.189411  0.618213  0.194451  0.695632  0.251689  0.269515  
CFR_EX+IN  0.700972  0.717998  0.974909  0.177904  0.492687  1.02485  0.191298  1.1655  0.228509  1.4442  
CFR_IN  0.764605  0.522144  0.103732  0.200515  0.811884  0.0155789  0.630056  0.127691  0.745542  0.74358  
A-CFR_IN  0.0592253  -0.0226704  0.437136  0.0973722  -0.0169052  -0.0180891  -0.0106549  0.278626  -0.0347586  -0.0185249  
BPS-CFR  0.334226  1.39272  1.17067  0.173039  0.087391  0.480699  0.328727  0.544934  1.02272  -0.098609  
TIPS-CFR  0.407463  0.861677  0.266168  0.234675  1.37728  0.144958  1.16469  0.209049  0.579414  0.672177  
CSPS-CFR  0.288776  0.209445  0.961287  0.165155  0.526238  0.491738  0.357346  0.568505  0.245065  0.223489  
CFPS-CFR  0.470995  0.863697  0.163587  0.198445  1.43984  0.112257  1.26153  0.185627  0.798533  0.672513  
CFPS-CFR_EX+IN  -0.0548768  0.552908  1.47424  0.229151  0.09481  1.15559  0.184711  0.965638  0.0680051  0.0326418  
TIPS-CFR_EX+IN  0.0953789  -0.0895891  1.36323  0.215566  0.409741  1.14908  0.627959  1.05802  0.139255  0.100241  
t = 20
CFR  0.0219509  0.446849  0.637909  0.125719  0.131062  0.501244  0.198127  0.554924  0.252498  0.299282  
CFR_EX+IN  1.15992  0.7136  0.915838  0.17791  0.650874  0.935661  0.220092  1.08491  0.517811  1.02987  
CFR_IN  1.43243  0.603788  0.0855602  0.210786  1.46311  -0.0360545  1.29372  0.0197726  0.801651  0.775293  
A-CFR_IN  0.0997697  -0.0210695  0.438665  0.0978231  -0.0151002  -0.0160726  -0.0147226  0.367245  0.0330866  0.071861  
BPS-CFR  0.474661  0.939359  0.688996  0.173227  0.125474  0.561174  0.500291  0.638601  0.837586  0.651872  
TIPS-CFR  1.05342  0.867068  0.330591  0.233139  1.40755  0.103838  0.984195  0.26171  0.842791  0.858507  
CSPS-CFR  0.241219  0.169588  0.477451  0.17078  0.456354  0.587141  0.307304  0.781998  0.328815  0.48586  
CFPS-CFR  1.17396  0.869316  0.22873  0.193784  1.51656  0.0216661  0.889344  0.158734  0.868131  0.815665  
CFPS-CFR_EX+IN  -0.117866  0.131568  1.56868  0.166638  0.135099  0.950931  0.229223  0.893417  0.0606169  0.0489448  
TIPS-CFR_EX+IN  -0.0267891  0.0244249  1.32418  0.132826  0.145893  0.81163  0.420629  1.00065  0.0878743  0.0749898  
t = 21
CFR  0.1  0.240851  0.626579  0.126616  0.0517615  0.555852  0.203279  0.560049  0.248163  0.257495  
CFR_EX+IN  1.248  0.573469  0.941378  0.175702  1.11526  0.596268  0.19496  0.738766  0.602068  0.556022  
CFR_IN  1.4578  0.616529  0.0670473  0.224666  1.54799  -0.0313267  1.3139  -0.0335893  1.50091  1.46466  
A-CFR_IN  0.113019  -0.0167088  0.424358  0.0982691  -0.0105124  0.0230884  -0.0109319  0.396486  0.115367  0.107212  
BPS-CFR  0.599029  0.553627  0.743265  0.171035  0.124514  0.776694  0.630252  0.759446  0.18673  1.03486  
TIPS-CFR  1.21378  1.40401  0.370072  0.206117  1.14953  0.0845863  0.607672  0.282947  0.83094  0.830564  
CSPS-CFR  0.360786  0.38343  0.487089  0.169188  0.285419  1.07294  0.242121  1.24051  0.346056  0.927772  
