learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
CFR_EX+IN  0.242171  0.189982  0.165884  -0.00489031  0.27555  0.171037  0.22259  0.165516  0.331311  0.258259  
CFR_IN  0.204743  0.0881332  0.0950385  -0.0139255  0.217423  0.120558  0.22431  0.112519  0.424382  0.290852  
A-CFR_IN  0.117548  0.237621  0.0891378  -0.0102609  0.196931  0.155099  0.214188  0.112405  0.144168  0.0404932  
BPS-CFR  0.23407  0.164021  0.171169  0.0132048  0.301448  0.18611  0.2021  0.180784  0.243674  0.178836  
TIPS-CFR  0.315057  0.108981  0.0924409  -0.0159869  0.194527  0.100265  0.200692  0.0921713  0.369159  0.183863  
CSPS-CFR  0.241045  0.171098  0.162547  -0.00507812  0.242066  0.169878  0.18461  0.164279  0.260236  0.183026  
CFPS-CFR  0.288164  0.138983  0.0924424  -0.0142724  0.217996  0.111792  0.22858  0.103713  0.37058  0.191963  
CFPS-CFR_EX+IN  0.252208  0.180794  0.16554  -0.00669194  0.273387  0.17263  0.226209  0.167155  0.284667  0.183743  
TIPS-CFR_EX+IN  0.253053  0.168571  0.165521  -0.00702919  0.250707  0.172269  0.196938  0.166776  0.283979  0.172028  
BR  0.62034  0.714078  0.489434  0.32372  0.74587  0.493498  0.60414  0.490112  0.627006  0.588198  
t = 7
CFR  0.211675  0.204597  0.122207  0.141915  0.358937  0.114729  0.339958  0.113657  0.22024  0.177566  
CFR_EX+IN  0.211036  0.147436  0.124151  0.127081  0.370252  0.0886388  0.315987  0.0915533  0.214996  0.141319  
CFR_IN  0.234571  0.0616857  0.0706021  0.125166  0.237147  0.0657744  0.323538  0.0672  0.23385  0.0971521  
A-CFR_IN  0.219404  0.013232  0.0554364  0.123867  0.415269  0.0808789  0.319135  0.0778881  0.19525  0.144209  
BPS-CFR  0.192062  0.0920907  0.131928  0.140878  0.276832  0.111141  0.242917  0.110568  0.214753  0.175069  
TIPS-CFR  0.18561  0.00197737  0.0689237  0.117293  0.238241  0.0600844  0.202404  0.0610378  0.0664724  0.0719343  
CSPS-CFR  0.215411  0.0546258  0.118976  0.130084  0.247766  0.0882879  0.199445  0.0910128  0.161875  0.132099  
CFPS-CFR  0.19467  0.00742002  0.0701594  0.120729  0.240436  0.0632124  0.211205  0.0647701  0.0646319  0.0683206  
CFPS-CFR_EX+IN  0.199905  0.0427688  0.124251  0.126456  0.268223  0.0870461  0.200876  0.0897369  0.160178  0.123194  
TIPS-CFR_EX+IN  0.211698  0.0368841  0.123947  0.126248  0.245035  0.0864397  0.18972  0.089132  0.153092  0.132012  
BR  0.578266  0.507475  0.464242  0.392193  0.71987  0.270168  0.619838  0.336026  0.435846  0.363471  
t = 8
CFR  0.168346  0.186203  0.143544  0.162353  0.259092  0.196058  0.201621  0.193138  0.148245  0.161429  
CFR_EX+IN  0.198394  0.151533  0.156359  0.132505  0.262671  0.163662  0.171304  0.160104  0.0976502  0.142226  
CFR_IN  0.220822  0.0761622  0.150436  0.136397  0.125179  0.205299  0.202733  0.177755  -3.96806e-05  0.0675334  
A-CFR_IN  0.174328  0.166489  0.166984  0.112823  0.235139  0.179315  0.273276  0.141885  0.104235  0.13738  
BPS-CFR  0.154657  0.140434  0.163417  0.153892  0.204892  0.187449  0.167908  0.185635  0.233278  0.166577  
TIPS-CFR  0.12043  0.0241092  0.13632  0.12248  0.154676  0.157998  0.208224  0.15537  -0.167718  0.0638331  
CSPS-CFR  0.188133  0.119747  0.144806  0.137283  0.215422  0.16782  0.157959  0.164191  0.136424  0.17006  
