learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (-12.3294, 259.5)  (-12.3294, 82)  (-12.3294, 80)  (-12.3294, 84)  (-12.3294, 88)  (-12.3294, 83)  (-12.3294, 82)  (-12.3294, 84)  (-12.3294, 82)  (-12.3294, 83)  (-12.3294, 83)  
TIPS-EFR  (19.6077, 21)  (19.7074, 52)  (20.114, 48)  (20.1213, 37)  (19.6372, 19)  (20.1222, 37)  (20.0299, 37)  (20.1184, 34)  (19.7261, 43)  (19.7274, 41)  (20.1284, 35)  
CSPS-EFR  (19.4843, 20)  (19.546, 49)  (20.0222, 45)  (20.0497, 41)  (19.5119, 14)  (20.0299, 36)  (19.9287, 35)  (20.0256, 33)  (19.5646, 48)  (19.5652, 50)  (20.0365, 45)  
CFPS-EFR  (19.5838, 21)  (19.68, 50)  (20.1103, 46)  (20.1213, 35)  (19.6133, 15)  (20.1184, 36)  (20.0256, 37)  (20.1147, 43)  (19.6988, 49)  (19.7, 51)  (20.1246, 46)  
CFPS-EFR_EX+IN  (19.3978, 20)  (19.4713, 53)  (19.6319, 42)  (19.7391, 40)  (19.4241, 15)  (19.7261, 40)  (19.5646, 46)  (19.6988, 48)  (19.4962, 49)  (19.4976, 47)  (19.742, 47)  
TIPS-EFR_EX+IN  (19.3983, 20)  (19.4726, 52)  (19.6331, 43)  (19.7404, 42)  (19.4247, 15)  (19.7274, 41)  (19.5652, 49)  (19.7, 53)  (19.4976, 48)  (19.499, 50.5)  (19.7433, 51)  
BEHAV-EFR  (19.6354, 21)  (19.7236, 53)  (20.1202, 41)  (20.1241, 38)  (19.6622, 16)  (20.1284, 38)  (20.0365, 50)  (20.1246, 48)  (19.742, 52)  (19.7433, 54)  (20.1346, 48.5)  
t = 4
CFR  (19.7442, 9)  (19.8071, 35)  (20.0968, 36)  (20.075, 39)  (19.7744, 13)  (20.1261, 39)  (19.9759, 41)  (20.1223, 40)  (19.8392, 38)  (19.8394, 39)  (20.1328, 39)  
CFR_EX+IN  (19.8071, 16)  (19.8813, 46.5)  (20.1447, 45)  (20.1535, 43)  (19.844, 18)  (20.1761, 45)  (20.0165, 46)  (20.177, 46)  (19.9172, 45)  (19.917, 46)  (20.1805, 45)  
CFR_IN  (20.0968, 18)  (20.1447, 48)  (20.3555, 43.5)  (20.3436, 41)  (20.1006, 19)  (20.3646, 42)  (20.2361, 46)  (20.3646, 41)  (20.149, 39)  (20.1501, 38)  (20.368, 35)  
A-EFR_IN  (20.075, 19)  (20.1535, 47)  (20.3436, 41)  (20.3448, 36)  (20.0999, 13)  (20.347, 37)  (20.2363, 34)  (20.347, 31)  (20.165, 37)  (20.1666, 38)  (20.348, 35)  
BPS-EFR  (19.7744, 13)  (19.844, 38)  (20.1006, 38)  (20.0999, 30)  (19.8048, 9)  (20.13, 34)  (19.9917, 31)  (20.1262, 28)  (19.8762, 30)  (19.8764, 30)  (20.1521, 29)  
TIPS-EFR  (20.1261, 20)  (20.1761, 49)  (20.3646, 44)  (20.347, 37)  (20.13, 16)  (20.3736, 35)  (20.2483, 36)  (20.3736, 33)  (20.1807, 37)  (20.1817, 38)  (20.377, 34)  
CSPS-EFR  (19.9759, 19)  (20.0165, 49)  (20.2361, 40)  (20.2363, 37)  (19.9917, 14)  (20.2483, 33)  (20.107, 34.5)  (20.2483, 33)  (20.0278, 46)  (20.0285, 48)  (20.2545, 45)  
CFPS-EFR  (20.1223, 19)  (20.177, 45)  (20.3646, 44)  (20.347, 33)  (20.1262, 14)  (20.3736, 34)  (20.2483, 37)  (20.3736, 42.5)  (20.1816, 47)  (20.1826, 46)  (20.377, 45)  
CFPS-EFR_EX+IN  (19.8392, 18)  (19.9172, 47)  (20.149, 42)  (20.165, 37)  (19.8762, 13)  (20.1807, 39)  (20.0278, 47)  (20.1816, 46)  (19.9531, 45.5)  (19.953, 47)  (20.1921, 45)  
TIPS-EFR_EX+IN  (19.8394, 18)  (19.917, 48)  (20.1501, 39)  (20.1666, 40)  (19.8764, 14)  (20.1817, 38)  (20.0285, 47)  (20.1826, 49)  (19.953, 45)  (19.9528, 45.5)  (20.1931, 48)  
BEHAV-EFR  (20.1328, 21)  (20.1805, 46)  (20.368, 39)  (20.348, 38)  (20.1521, 15)  (20.377, 37)  (20.2545, 49)  (20.377, 48)  (20.1921, 47)  (20.1931, 50)  (20.3804, 49)  
t = 5
CFR  (20.0351, 9.5)  (20.098, 34)  (20.2997, 36)  (20.3286, 39)  (20.0477, 13)  (20.3376, 37)  (20.2089, 39)  (20.3407, 40)  (20.106, 39)  (20.1054, 38)  (20.3354, 40)  
CFR_EX+IN  (20.098, 16)  (20.1801, 48)  (20.3536, 47)  (20.3727, 45)  (20.11, 18)  (20.3798, 45)  (20.2546, 45)  (20.3804, 44)  (20.1875, 43)  (20.1863, 46)  (20.3823, 46)  
CFR_IN  (20.2997, 16)  (20.3536, 45)  (20.4063, 41)  (20.4085, 41)  (20.2997, 18)  (20.4392, 42)  (20.329, 43)  (20.4392, 43)  (20.3536, 40)  (20.3542, 38)  (20.4408, 36)  
A-EFR_IN  (20.3286, 18)  (20.3727, 46)  (20.4085, 42)  (20.3932, 36)  (20.329, 13)  (20.4285, 35)  (20.3487, 35)  (20.4262, 32)  (20.3728, 35)  (20.3735, 35)  (20.4228, 32)  
BPS-EFR  (20.0477, 13)  (20.11, 37)  (20.2997, 36)  (20.329, 27)  (20.0604, 8)  (20.3377, 34)  (20.209, 27)  (20.3408, 28)  (20.1179, 31)  (20.1173, 28)  (20.3359, 30)  
TIPS-EFR  (20.3376, 20)  (20.3798, 47)  (20.4392, 41)  (20.4285, 40)  (20.3377, 17)  (20.4719, 34.5)  (20.3802, 35)  (20.472, 33)  (20.3799, 36)  (20.3803, 37)  (20.4737, 36)  
CSPS-EFR  (20.2089, 18)  (20.2546, 45)  (20.329, 40)  (20.3487, 37)  (20.209, 13)  (20.3802, 34)  (20.2278, 35)  (20.3804, 33)  (20.2546, 44)  (20.2549, 43)  (20.3959, 44)  
CFPS-EFR  (20.3407, 20)  (20.3804, 47)  (20.4392, 41)  (20.4262, 34)  (20.3408, 14)  (20.472, 34)  (20.3804, 35)  (20.472, 42)  (20.3805, 44)  (20.3809, 45)  (20.4736, 47)  
CFPS-EFR_EX+IN  (20.106, 18)  (20.1875, 48)  (20.3536, 41)  (20.3728, 37)  (20.1179, 13)  (20.3799, 36)  (20.2546, 45)  (20.3805, 44)  (20.1948, 45.5)  (20.1936, 45)  (20.3825, 45)  
TIPS-EFR_EX+IN  (20.1054, 18)  (20.1863, 48)  (20.3542, 39)  (20.3735, 40)  (20.1173, 13)  (20.3803, 37)  (20.2549, 46)  (20.3809, 47)  (20.1936, 45)  (20.1925, 47.5)  (20.3829, 48)  
BEHAV-EFR  (20.3354, 20)  (20.3823, 45)  (20.4408, 36)  (20.4228, 36)  (20.3359, 15)  (20.4737, 37)  (20.3959, 49)  (20.4736, 46)  (20.3825, 45)  (20.3829, 48)  (20.4757, 47.5)  
t = 6
CFR  (20.2608, 9)  (20.3222, 33)  (20.555, 30)  (20.5593, 38)  (20.2646, 13)  (20.5615, 35)  (20.4964, 40)  (20.5655, 36)  (20.3242, 35)  (20.3225, 39)  (20.5591, 39)  
CFR_EX+IN  (20.3222, 15)  (20.3964, 46.5)  (20.5632, 46)  (20.568, 44)  (20.3248, 17)  (20.5651, 46)  (20.5163, 43)  (20.5725, 43)  (20.3989, 44)  (20.3973, 45)  (20.5658, 44)  
CFR_IN  (20.555, 17)  (20.5632, 43)  (20.4731, 41.5)  (20.4938, 38)  (20.5551, 18)  (20.5377, 41)  (20.5053, 42)  (20.5376, 41)  (20.5633, 41)  (20.561, 37)  (20.5407, 36)  
A-EFR_IN  (20.5593, 18)  (20.568, 46)  (20.4938, 41)  (20.5052, 44.5)  (20.5604, 13)  (20.5591, 35)  (20.4858, 33)  (20.5415, 30)  (20.5687, 35)  (20.5671, 34)  (20.5269, 31)  
BPS-EFR  (20.2646, 13)  (20.3248, 37)  (20.5551, 34)  (20.5604, 30)  (20.2685, 8)  (20.5616, 29)  (20.4965, 29)  (20.5656, 27)  (20.3268, 29)  (20.3252, 26)  (20.5601, 29)  
TIPS-EFR  (20.5615, 20)  (20.5651, 47)  (20.5377, 43)  (20.5591, 36)  (20.5616, 17)  (20.6022, 33.5)  (20.5852, 35)  (20.6022, 33)  (20.5653, 36)  (20.5631, 37)  (20.6058, 34)  
CSPS-EFR  (20.4964, 18)  (20.5163, 46)  (20.5053, 41)  (20.4858, 34)  (20.4965, 13)  (20.5852, 34)  (20.552, 33.5)  (20.5852, 32)  (20.5163, 44)  (20.5156, 45)  (20.5854, 42)  
CFPS-EFR  (20.5655, 19)  (20.5725, 44)  (20.5376, 41)  (20.5415, 31)  (20.5656, 14)  (20.6022, 34)  (20.5852, 36)  (20.6022, 41)  (20.5727, 45)  (20.5704, 45)  (20.6058, 45)  
CFPS-EFR_EX+IN  (20.3242, 17)  (20.3989, 47)  (20.5633, 42)  (20.5687, 37)  (20.3268, 13)  (20.5653, 38)  (20.5163, 44)  (20.5727, 44)  (20.4013, 46)  (20.3998, 41)  (20.5664, 45)  
