learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
TIPS-CFR_EX+IN  10.8249  10.6338  10.8331  5.42396  10.2391  11.6503  10.3256  12.5178  8.83742  8.84187  
t = 9
CFR  8.41175  8.88084  9.22596  6.12836  10.457  9.83402  10.0265  9.43294  8.94343  8.94746  
CFR_EX+IN  9.06489  9.7282  11.306  6.74766  10.2061  12.8651  10.3654  11.9774  9.45171  9.46295  
CFR_IN  2.21652  2.15268  18.6787  5.59937  2.11965  14.6775  2.38906  17.3651  2.13735  2.2614  
A-CFR_IN  2.07918  2.10824  10.0574  4.54531  2.08148  9.4903  2.08367  8.79848  2.1248  2.12945  
BPS-CFR  11.2479  9.4074  12.6115  5.87763  11.2011  12.1216  11.0618  13.3436  8.98169  8.99034  
TIPS-CFR  2.11293  2.1494  17.9312  5.1795  2.11709  14.7919  2.25212  19.9434  2.15414  2.19454  
CSPS-CFR  11.6179  9.2261  10.0455  5.39058  11.2653  12.7367  11.1305  11.7518  8.80795  8.81346  
CFPS-CFR  2.12963  2.19425  16.7471  5.14847  2.11937  12.9858  2.20771  17.7769  2.15263  2.21437  
CFPS-CFR_EX+IN  10.5652  9.19852  13.1141  6.36977  10.0525  10.5566  10.2517  12.5689  9.04253  9.05202  
TIPS-CFR_EX+IN  10.5659  9.1953  12.5295  5.81298  10.0524  12.8192  10.2519  13.4154  9.03933  9.04883  
t = 10
CFR  10.0241  10.3003  9.78876  6.51501  9.5497  10.1283  9.88955  9.50551  10.5343  10.5403  
CFR_EX+IN  8.6045  9.53547  11.4239  7.13851  9.64039  13.1169  10.4558  12.5075  9.52867  9.53189  
CFR_IN  2.17739  2.14705  18.0073  5.69904  2.11985  12.7737  2.18287  19.2382  2.14138  2.16716  
A-CFR_IN  2.10647  2.11454  9.79974  5.09849  2.13986  10.4074  2.09531  9.81132  2.14184  2.11755  
BPS-CFR  11.6762  9.88826  12.6808  6.91413  10.4555  12.1347  10.3779  13.3938  8.36144  8.36766  
TIPS-CFR  2.09998  2.15281  21.2867  5.22401  2.12096  16.6714  2.1823  19.2293  2.13992  2.15035  
CSPS-CFR  11.0343  9.5481  11.3605  5.58398  10.2739  12.9863  10.1923  12.3848  9.27839  9.28185  
CFPS-CFR  2.12082  2.15315  17.5837  5.71461  2.12146  14.3422  2.15293  14.6333  2.15284  2.13063  
CFPS-CFR_EX+IN  8.96132  8.94334  13.5241  6.76383  9.5412  10.991  10.1642  12.6466  9.01946  9.0197  
TIPS-CFR_EX+IN  8.95966  8.94463  13.5135  6.41633  9.5314  13.3128  10.1664  14.0435  9.0212  9.02145  
t = 11
CFR  9.56102  10.5667  10.4382  7.27848  10.6934  10.3647  10.5745  9.51351  10.5276  10.5161  
CFR_EX+IN  8.439  9.46184  11.5807  7.3855  7.98238  13.4711  8.24416  12.8531  10.0016  9.99932  
CFR_IN  2.12986  2.15323  16.8469  5.63506  2.1212  15.9104  2.09925  19.55  2.14622  2.15086  
A-CFR_IN  2.14376  2.1421  10.5133  5.00736  2.16974  10.7212  2.13683  10.0099  2.14735  2.1255  
BPS-CFR  9.53074  11.0536  12.699  7.29888  9.74239  12.1461  9.77413  13.4129  9.20174  9.20203  
TIPS-CFR  2.10422  2.15356  20.642  5.73757  2.12112  16.6633  2.11998  21.4857  2.14427  2.1532  
CSPS-CFR  9.36122  10.946  13.7566  6.35027  9.77772  13.3744  9.81604  12.8193  10.8739  10.8771  
CFPS-CFR  2.12082  2.15336  20.0356  5.50599  2.12081  14.1556  2.11706  13.9849  2.15299  2.14494  
CFPS-CFR_EX+IN  8.59915  8.17349  13.5919  7.72832  8.12094  11.1846  8.29584  12.6762  9.06649  9.06699  
TIPS-CFR_EX+IN  8.60616  8.17838  13.8855  7.53892  8.12109  13.4731  8.2895  14.326  9.06964  9.07018  
t = 12
CFR  9.1341  10.3013  11.2231  8.25385  11.2349  10.4767  10.8613  9.51508  10.7153  10.719  
CFR_EX+IN  8.54083  9.504  11.6243  7.17793  7.71975  13.5135  7.56062  13.1349  9.52075  9.52378  
CFR_IN  2.1052  2.15324  16.3243  5.71012  2.12128  17.5824  2.0967  21.1569  2.15171  2.15143  
A-CFR_IN  2.21435  2.14967  10.878  5.48851  2.26478  10.5608  2.13833  10.0425  2.12964  2.14132  
BPS-CFR  8.75758  9.35915  12.7124  8.62504  9.5956  12.1556  9.87355  13.4251  9.38685  9.33705  
TIPS-CFR  2.10548  2.15346  16.6844  6.35949  2.12163  15.63  2.12206  16.575  2.14592  2.15072  
CSPS-CFR  8.45166  11.3948  14.5792  6.32513  9.13561  13.54  9.42185  13.0511  11.483  11.4837  
CFPS-CFR  2.12197  2.15367  20.2703  5.78171  2.12208  17.5481  2.11322  15.0128  2.15372  2.15042  
CFPS-CFR_EX+IN  8.37339  8.38674  13.6042  7.8944  7.45445  11.3785  7.29955  12.6913  7.71075  7.70886  
TIPS-CFR_EX+IN  8.37028  8.39774  14.0895  8.40265  7.49103  13.4887  7.29839  14.3719  7.71767  7.71578  
t = 13
CFR  9.07568  10.5573  11.7785  8.905  9.78013  10.5185  9.79225  9.51674  10.8429  10.8623  
CFR_EX+IN  8.37696  9.66054  11.6824  7.89561  8.35042  13.5426  8.04391  13.2203  9.49461  9.50242  
CFR_IN  2.09552  2.15332  16.3516  6.24981  2.11979  17.752  2.09638  19.3242  2.15104  2.14443  
A-CFR_IN  2.19397  2.1378  10.6806  6.11819  2.32526  10.9915  2.16551  10.1827  2.1406  2.16843  
