learner/env  CFR  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  PI  greed_punisher  FP  
TIPS-CFR  0.0011454  0.0846816  0.00110305  0.0839572  0.00139028  2.6975e-16  2.90566e-16  0.30173  0.592454  0.053727  
IPS-CFR  0.0011454  0.0846816  0.00110305  0.0839572  0.00139028  2.68882e-16  2.90566e-16  0.30173  0.592454  0.053727  
PI  0.0734665  0.179468  0.0741927  0.18669  0.0758546  0.07002  0.07002  -6.245e-17  -0.457812  0.15  
greed_punisher  -0.567131  -0.454272  -0.568534  -0.456147  -0.569755  -0.556988  -0.556988  0.608464  4.996e-16  -0.4375  
FP  -0.00602329  0.14228  -0.0184471  0.141933  -0.00402388  -0.00999542  -0.00999542  0.491927  0.376042  -3.60822e-16  
BR  0.116266  0.190529  0.116362  0.190229  0.115886  0.117472  0.117472  0.608464  0.913542  0.15  
t = 7
CFR  -2.56739e-16  0.0755298  4.51028e-16  0.0752858  -0.000123095  -0.000403439  -0.000403439  0.296755  0.169327  0.0594282  
A-CFR  -0.0487852  -1.76942e-16  -0.0489055  4.23273e-16  -0.0494635  -0.047881  -0.047881  0.297901  0.172323  0.0319326  
CFR_IN  -1.04083e-16  0.0755298  7.14706e-16  0.0752858  -0.000123095  -0.000403439  -0.000403439  0.296755  0.169327  0.0594282  
A-CFR_IN  -0.0487852  -1.94289e-16  -0.0489055  3.88578e-16  -0.0494635  -0.047881  -0.047881  0.297901  0.172323  0.0319326  
BPS-CFR  0.00018472  0.0752065  0.000181299  0.0749777  5.89806e-16  -0.000107323  -0.000107323  0.300028  0.172888  0.0589821  
TIPS-CFR  0.000337788  0.0774371  0.000332928  0.0772265  0.000161648  7.77156e-16  7.56339e-16  0.304764  0.171745  0.0613866  
IPS-CFR  0.000337788  0.0774371  0.000332928  0.0772265  0.000161648  7.63278e-16  7.56339e-16  0.304764  0.171745  0.0613866  
PI  0.1125  0.136797  0.1125  0.137117  0.112355  0.124707  0.124707  -8.67362e-16  -0.630208  0.11875  
greed_punisher  -0.429308  -0.289625  -0.429756  -0.290361  -0.430331  -0.477661  -0.477661  0.736979  -6.73073e-16  -0.375  
FP  -0.0473138  0.10275  -0.0469855  0.102979  -0.0461497  -0.0492968  -0.0492968  0.104427  0.216667  -4.51028e-16  
