learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
A-EFR_IN  (0.163354, 31)  (0.137713, 46)  (0.0458577, 26)  (-1.04083e-17, 44)  (0.166318, 53)  (0.045849, 37)  (-0.00447905, 48)  (0.0471204, 41)  (0.14185, 60)  (0.138935, 59)  (0.0471555, 39)  
BPS-EFR  (-0.000205588, 31)  (0.00380649, 45)  (0.347107, 26)  (0.215208, 43)  (-1.19262e-18, 53)  (0.347107, 38)  (0.290145, 48)  (0.347107, 43)  (0.00423364, 61)  (0.00415141, 59)  (0.347107, 39)  
TIPS-EFR  (0.245235, 31)  (0.175922, 46)  (6.7417e-10, 26)  (0.0158132, 44)  (0.246857, 53)  (9.8301e-18, 38)  (-0.00708238, 49)  (6.88833e-10, 43)  (0.178069, 61)  (0.176498, 60)  (-3.50714e-08, 40)  
CSPS-EFR  (0.228974, 31)  (0.165185, 46)  (0.0124799, 26)  (0.0168525, 44)  (0.230227, 53)  (0.0124799, 38)  (-1.04083e-17, 49)  (0.0124799, 42)  (0.168722, 61)  (0.166887, 59)  (0.0124799, 39)  
CFPS-EFR  (0.244948, 31)  (0.176263, 46)  (-1.45832e-11, 26)  (0.0158131, 42)  (0.24656, 53)  (-5.93522e-10, 38)  (-0.00707193, 49)  (-1.15648e-18, 42)  (0.178056, 62)  (0.17642, 61)  (-3.54472e-08, 39)  
CFPS-EFR_EX+IN  (-0.00259034, 31)  (-0.000383398, 45)  (0.333228, 26)  (0.213539, 44)  (-0.0024457, 54)  (0.333228, 38)  (0.272025, 48)  (0.333228, 42)  (-8.67362e-18, 61)  (-0.000189672, 60)  (0.333228, 39)  
TIPS-EFR_EX+IN  (-0.00200961, 31)  (-0.000885136, 46)  (0.333222, 26)  (0.213533, 44)  (-0.00185946, 54)  (0.333222, 38)  (0.272065, 50)  (0.333222, 43)  (0.000134853, 62)  (6.50521e-19, 60)  (0.333221, 40)  
BEHAV-EFR  (0.240137, 31)  (0.173214, 46)  (6.455e-08, 26)  (0.0158173, 43)  (0.242022, 53)  (5.5097e-08, 38)  (-0.00777901, 48)  (6.45719e-08, 42)  (0.175075, 61)  (0.173929, 60)  (-6.36065e-18, 40)  
BR  (0.462799, 21)  (0.524428, 32)  (0.99997, 18)  (0.941987, 31)  (0.467195, 38)  (0.999964, 27)  (0.914001, 35)  (0.99997, 30)  (0.528532, 44)  (0.525559, 43)  (0.999969, 28)  
t = 3
CFR  (4.06576e-18, 31)  (-0.00144761, 42)  (0.28383, 38)  (0.439778, 46)  (0.00515076, 51)  (0.276398, 54)  (0.209634, 56)  (0.279337, 52)  (0.000222847, 63)  (-0.00089595, 71)  (0.228787, 58)  
CFR_EX+IN  (0.00219131, 30)  (6.50521e-19, 42)  (0.240506, 39)  (0.419351, 45)  (0.0075184, 51)  (0.233175, 55)  (0.188316, 55)  (0.235941, 51)  (0.00200589, 65)  (0.000790751, 72)  (0.186155, 59)  
