learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
TIPS-CFR_EX+IN  1.64174  1.71513  3.25391  0.847955  1.21655  1.61827  1.79807  2.46523  1.15131  1.79584  
BR  2.33871  2.37946  4.15569  0.927755  1.83263  2.24114  2.67434  3.25364  1.79306  2.61735  
t = 8
CFR  1.75461  1.67308  3.19499  0.762112  1.70381  1.69579  2.07857  2.11882  1.53057  2.14474  
CFR_EX+IN  1.85133  1.68811  3.17086  0.76479  1.67565  1.69528  2.07162  2.1113  1.51389  2.11759  
CFR_IN  1.84969  1.53325  2.92015  0.667781  1.54882  1.86318  1.88053  2.29892  1.54867  2.20977  
A-CFR_IN  1.27685  1.31223  2.09641  0.200922  1.20726  1.39616  1.35165  1.76097  1.09158  1.49424  
BPS-CFR  1.7983  1.45968  3.20183  0.762947  1.54353  1.67486  2.10376  2.10692  1.47226  2.03866  
TIPS-CFR  1.59055  1.54522  2.68649  0.360077  1.35842  1.56472  1.68804  2.43615  1.35352  1.75233  
CSPS-CFR  1.92022  1.86819  3.02266  0.655335  1.40842  1.87018  1.91293  2.2162  1.48291  1.90909  
CFPS-CFR  1.80039  1.55658  2.9329  0.616675  1.46229  1.87285  1.86263  2.46252  1.57995  2.27298  
CFPS-CFR_EX+IN  1.84265  1.46648  3.24478  0.766032  1.58805  1.67671  2.14555  2.10105  1.45446  2.01353  
TIPS-CFR_EX+IN  1.81976  1.40448  3.23858  0.774382  1.36613  1.6732  2.23838  2.06496  1.33006  1.84315  
BR  2.4293  2.27809  4.27664  0.774416  1.95733  2.24558  2.70881  3.15966  1.82739  2.69366  
t = 9
CFR  1.67503  1.28586  2.71408  0.830164  1.85621  1.39592  1.76397  1.90714  1.66252  1.79967  
CFR_EX+IN  1.5479  1.28734  2.68991  0.818758  1.78512  1.39648  1.76302  1.90403  1.62117  1.77505  
CFR_IN  1.57301  1.31277  2.35573  0.705032  1.62805  1.50602  1.84088  2.03639  1.61454  1.75432  
A-CFR_IN  1.25345  0.91751  1.92385  0.283507  1.32244  1.32366  1.3239  1.37188  1.22805  1.30789  
BPS-CFR  1.54557  1.25818  2.63345  0.822123  1.77193  1.36428  1.76762  1.8864  1.64019  1.77882  
TIPS-CFR  1.58715  1.22827  2.61522  0.121254  1.67907  1.4973  1.65364  1.90609  1.51095  1.49583  
CSPS-CFR  1.70358  1.26497  2.55924  0.686261  1.74164  1.4666  1.66743  2.02556  1.65145  1.49215  
CFPS-CFR  1.54172  1.27405  2.32898  0.753939  1.60988  1.52397  1.85671  2.06  1.61145  1.78889  
CFPS-CFR_EX+IN  1.5627  1.25398  2.55199  0.812995  1.74354  1.36299  1.76697  1.91358  1.58529  1.75185  
TIPS-CFR_EX+IN  1.51875  1.2239  2.61079  0.786965  1.72892  1.36448  1.77131  1.94155  1.56002  1.55796  
BR  2.12262  1.83666  3.2809  0.834464  2.52152  2.05976  2.22187  2.57936  2.05954  2.12449  
t = 10
CFR  1.5338  1.2239  2.321  0.895119  1.82299  1.46187  1.59189  2.42642  1.78724  1.37967  
CFR_EX+IN  1.4999  1.24614  2.33111  0.895119  1.89748  1.46417  1.62678  2.44295  1.77216  1.27033  
CFR_IN  1.41145  1.14994  2.27226  0.878962  1.84711  1.57193  1.66864  2.27734  1.74726  1.28737  
A-CFR_IN  1.30545  0.847256  1.68218  0.33126  1.40042  1.47461  1.22312  1.78045  1.43897  1.01272  
BPS-CFR  1.37697  1.18433  2.32375  0.895119  1.78739  1.43129  1.64339  2.39938  1.79607  1.41267  
TIPS-CFR  1.457  0.883921  2.35933  0.377144  1.67796  1.48811  1.53726  2.32578  1.78615  1.46508  
CSPS-CFR  1.66679  0.935706  1.9967  0.665886  1.67282  1.65071  1.59647  2.48551  1.83756  1.41079  
CFPS-CFR  1.41308  0.875128  2.16356  0.880017  1.72995  1.56976  1.69644  2.31875  1.71196  1.40969  
CFPS-CFR_EX+IN  1.39104  1.31386  2.3223  0.89021  1.80989  1.43138  1.62976  2.45332  1.77207  1.44927  
TIPS-CFR_EX+IN  1.39682  1.36715  2.23908  0.716995  1.90346  1.42267  1.63598  2.49252  1.86059  1.4759  
BR  2.01044  2.10182  2.9177  0.895119  2.53053  2.019  2.21978  2.89066  2.34544  2.07955  
