learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
CFR_EX+IN  7.65467  7.68335  4.89646  1.85286  5.53422  4.88822  3.22757  6.53918  4.54416  3.79455  
CFR_IN  5.23227  5.19868  8.26857  1.75063  10.1169  6.60921  6.70655  8.73577  9.38641  9.16537  
A-CFR_IN  3.39039  4.55363  4.84065  1.13365  3.38097  4.00151  3.75616  4.28243  5.17662  3.9587  
BPS-CFR  6.30279  6.32321  6.82901  1.21864  5.19245  7.2386  3.29372  5.45997  4.52673  4.25344  
TIPS-CFR  9.73024  10.0835  5.95861  1.08552  9.45553  4.6245  6.5974  6.75311  10.9947  10.139  
CSPS-CFR  3.08071  3.86113  7.70095  1.26878  3.87112  6.12288  5.79425  9.77577  3.44046  2.87445  
CFPS-CFR  6.82106  10.9243  6.60319  1.77752  5.90888  7.48256  10.0844  6.55771  7.69415  6.0496  
CFPS-CFR_EX+IN  6.10977  7.44953  4.6915  1.6768  5.59182  5.52815  3.30167  5.48146  4.9582  4.20583  
TIPS-CFR_EX+IN  8.58228  9.2035  6.26068  1.0719  6.07541  5.05571  3.54834  5.80935  6.08676  5.41216  
t = 9
CFR  8.85763  9.05482  6.18564  1.31074  6.31056  5.64558  2.65791  5.38922  6.21405  4.94726  
CFR_EX+IN  8.32375  8.49533  4.22579  2.20923  5.18581  4.97309  3.02693  8.43803  6.18822  6.37357  
CFR_IN  3.38934  3.86183  8.59191  2.07217  7.33039  6.20331  6.90914  8.62909  3.74495  5.18737  
A-CFR_IN  3.38708  4.94817  3.45147  1.14561  3.31634  3.47358  3.0563  3.8362  4.56747  3.21505  
BPS-CFR  7.06683  7.99532  8.51279  1.34081  5.10632  7.09036  3.60482  4.31825  5.25428  4.35403  
TIPS-CFR  7.98077  10.2438  6.3659  1.32283  9.54865  6.89351  7.16738  5.63729  8.78323  5.69927  
CSPS-CFR  3.89502  4.86453  6.20309  1.30557  4.83733  5.6754  5.12054  7.86775  4.2622  3.53223  
CFPS-CFR  3.63735  10.7849  7.30022  1.90745  3.24131  5.67851  8.53163  8.44697  5.26971  3.58584  
CFPS-CFR_EX+IN  6.9237  4.4707  5.01209  2.03016  3.54561  6.15347  2.88295  5.50653  3.86106  4.86648  
TIPS-CFR_EX+IN  5.37155  4.84631  7.74122  1.18608  5.9629  5.59713  4.34852  5.02365  5.28142  5.02485  
t = 10
CFR  9.16737  8.95112  6.57523  1.92824  6.13142  7.18328  2.77353  4.87852  6.00187  7.8839  
CFR_EX+IN  8.8835  8.70393  4.4772  2.38292  6.74091  5.97711  3.94265  10.5855  5.94651  8.15113  
CFR_IN  5.30101  3.03439  8.24396  2.26161  7.00316  6.26541  6.21058  8.23917  3.10777  4.85522  
A-CFR_IN  2.28664  2.89224  4.1522  1.29969  2.91374  3.21145  2.75977  4.42606  3.77666  1.9595  
BPS-CFR  7.20011  3.53771  8.52423  1.62084  3.85845  6.99722  3.86947  3.86373  3.85845  5.04142  
TIPS-CFR  9.51946  7.53626  7.63146  1.65088  8.34622  6.47313  6.55465  6.09666  6.83302  6.44559  
CSPS-CFR  4.46942  5.90696  7.00743  1.53584  6.28178  7.03994  5.36211  6.8787  5.81786  3.9959  
CFPS-CFR  5.01534  9.41414  7.37418  1.7489  3.81794  6.0523  7.20843  8.30916  3.6516  4.40679  
CFPS-CFR_EX+IN  7.64704  4.0447  4.92487  2.811  3.85462  7.81166  3.71545  5.26474  3.85549  5.35202  
TIPS-CFR_EX+IN  4.84942  5.53917  7.90527  1.53258  5.2269  5.53674  4.54276  5.4757  4.89691  5.37591  
t = 11
CFR  10.0386  9.92886  5.10233  1.39867  5.54804  7.28431  4.30503  5.01029  5.66682  9.00445  
CFR_EX+IN  9.5995  9.46107  4.00244  2.24976  7.23341  7.29917  3.81598  9.7599  5.49807  7.39129  
CFR_IN  7.2575  3.78617  8.0716  2.11239  7.97369  5.69109  6.32215  7.7052  3.0453  5.29738  
A-CFR_IN  2.56729  3.18948  4.94935  1.15281  1.92256  3.466  2.60349  4.71833  3.88292  1.91033  
BPS-CFR  7.77437  2.45312  9.04352  1.62535  3.85549  7.6504  4.09936  2.725  3.85549  3.37558  
TIPS-CFR  8.65746  6.79823  9.05749  1.95391  8.22402  6.29052  6.48632  6.91142  7.87388  6.76769  
CSPS-CFR  5.22477  8.00358  7.63558  1.59844  7.47638  6.22249  5.48969  8.97706  6.77749  4.69491  
CFPS-CFR  6.04177  8.73268  7.57492  1.82693  4.70893  5.9329  6.5571  7.89432  4.18305  5.89547  
CFPS-CFR_EX+IN  7.44782  3.37839  4.9289  2.54787  3.85549  6.90134  4.71608  4.43746  3.85549  3.43978  
TIPS-CFR_EX+IN  4.97998  6.41013  7.11975  1.4716  5.50497  5.88701  4.96976  4.51017  5.47242  5.2751  
t = 12
CFR  6.40728  6.37413  5.20452  1.46803  6.36241  8.38874  4.60819  5.41201  7.08171  4.90664  
CFR_EX+IN  6.25593  6.21528  4.6573  2.26349  5.63597  6.9316  5.36171  9.90276  5.50506  9.84742  
CFR_IN  7.47863  6.47501  6.23491  2.21501  7.80498  6.06435  7.62511  5.68609  3.37704  7.14707  
A-CFR_IN  2.4185  3.49825  5.29096  1.07676  1.57503  4.10065  3.15987  4.46373  3.9817  2.03815  
BPS-CFR  4.13537  4.27423  8.12369  1.63717  3.85549  6.59625  4.87811  3.61181  4.77105  3.84885  
TIPS-CFR  8.48476  7.27467  9.40704  1.91297  9.22868  6.18509  6.54036  7.79137  7.71549  8.35171  
CSPS-CFR  5.5827  7.62206  7.94598  1.51485  10.3608  5.56918  5.89029  9.0568  8.9948  7.79166  
CFPS-CFR  7.82971  8.43904  9.71436  1.90729  7.32005  5.86549  7.46958  6.31843  5.72389  6.94198  
CFPS-CFR_EX+IN  2.1732  3.37528  4.10359  2.90977  2.67392  7.13003  4.41605  3.88663  3.57847  3.23584  
TIPS-CFR_EX+IN  6.00472  4.80629  7.85477  1.30932  3.87376  6.61306  4.68041  4.99592  5.90749  5.07417  
t = 13
CFR  6.43248  6.42603  5.47191  1.46545  7.00279  6.3833  5.09859  5.17969  6.78539  3.4  
CFR_EX+IN  6.36927  6.35149  5.09711  2.21829  3.80101  7.42589  5.15053  9.97835  3.94636  8.73023  
CFR_IN  6.71407  7.29747  6.10918  2.30215  7.47456  7.0669  7.237  6.51816  4.84074  9.15173  
A-CFR_IN  2.64242  3.93663  5.76748  1.15388  2.32255  4.01984  2.99359  4.08684  3.89375  2.28315  
BPS-CFR  2.3219  4.11005  9.97961  1.06579  3.57832  6.28587  6.38532  4.20893  3.57977  3.81141  
TIPS-CFR  8.88152  7.267  9.53804  1.74285  8.79128  9.5702  6.61666  5.01067  8.9266  9.39036  
CSPS-CFR  6.55755  7.27349  7.68068  1.47191  8.07076  6.4326  5.91023  8.13308  7.69575  7.13797  
CFPS-CFR  8.44186  8.28048  8.50016  2.22131  7.30246  6.80007  8.29809  6.5245  6.81292  7.50383  
CFPS-CFR_EX+IN  2.75737  3.77888  4.75131  2.58873  3.57451  7.68619  5.87477  4.99721  3.57681  3.71163  
TIPS-CFR_EX+IN  6.86478  4.99153  8.78679  1.47665  3.89956  6.76637  5.24329  5.67814  4.00335  5.27041  
t = 14
CFR  5.03135  5.03133  6.48837  1.74541  6.81669  5.91437  6.22861  5.66884  6.83407  3.29402  
CFR_EX+IN  5.03084  5.03101  5.73795  2.28319  3.8047  6.67822  4.61455  11.1599  2.78164  2.61706  
CFR_IN  5.23964  6.41864  6.12995  2.47676  8.51085  7.82943  7.44033  7.86922  4.39655  8.76491  
A-CFR_IN  2.47705  4.10302  5.88178  1.38369  2.30475  4.38375  3.09788  4.07901  4.56448  2.54752  
BPS-CFR  2.82809  3.90627  10.3322  1.09825  3.57681  7.12218  6.63305  4.58483  3.35743  3.57576  
TIPS-CFR  8.99535  7.21779  8.85661  1.99434  9.20237  7.37387  6.16797  4.78011  10.4491  9.70284  
CSPS-CFR  5.90561  8.19436  8.04526  1.59942  7.91391  7.11861  6.25266  8.76109  6.81469  7.02015  
CFPS-CFR  8.26137  7.53305  5.8761  2.15163  6.83833  7.31  7.08934  6.04093  6.98038  8.94801  
CFPS-CFR_EX+IN  2.83515  4.66944  5.19215  2.46462  4.14039  7.87125  6.56182  5.50525  3.86947  4.63564  
TIPS-CFR_EX+IN  7.23415  7.26726  10.6427  1.75529  3.58093  6.73484  5.44939  5.4917  2.80201  5.55518  
t = 15
CFR  5.24555  5.58299  7.19741  1.56307  6.81412  6.84125  6.5553  6.60286  6.83407  3.28252  
CFR_EX+IN  4.71465  5.02485  6.51524  2.38858  3.78451  7.4517  4.84385  10.6202  3.55412  1.43757  
CFR_IN  5.64755  5.63077  5.11502  2.53118  10.9055  7.29428  7.41768  8.9385  3.85761  9.67294  
A-CFR_IN  2.69954  3.82067  6.05452  1.37297  2.39724  4.53319  2.86182  3.92265  4.68201  2.89187  
BPS-CFR  2.83515  3.92647  10.37  1.38109  3.77003  7.86659  6.60535  5.50969  3.16496  3.24973  
TIPS-CFR  8.67109  8.57426  9.30054  2.13289  8.31805  5.26997  7.02936  6.28265  7.10445  8.44878  
CSPS-CFR  6.01205  8.37458  8.77701  1.25982  8.13477  6.56958  6.58795  7.85771  8.85254  7.80603  
CFPS-CFR  7.95202  9.74361  5.34029  2.23296  6.78833  4.84298  6.92756  5.98416  8.56071  8.13408  
CFPS-CFR_EX+IN  2.83515  3.60678  6.10674  2.49939  4.51734  10.0474  5.13604  5.72385  4.10546  3.26742  
TIPS-CFR_EX+IN  7.1617  7.86498  10.24  1.50945  4.36699  7.94097  4.74349  6.15056  4.27933  4.03507  
t = 16
CFR  5.53557  5.52561  6.95301  1.50537  3.8137  6.86754  6.47423  6.78119  3.83537  4.07308  
CFR_EX+IN  5.48241  5.46763  6.4469  2.42797  2.62116  8.31115  5.75058  9.55677  4.07217  3.51859  
CFR_IN  6.60088  7.74431  5.15359  2.58797  10.0508  7.37377  7.69832  8.02822  4.77256  10.6414  
A-CFR_IN  2.84437  3.62947  5.54327  1.34945  2.1053  5.07928  3.22905  3.45747  4.93216  2.13266  
BPS-CFR  3.79096  4.81199  10.6164  1.44395  4.02068  8.17357  6.51229  6.06596  3.97592  3.94046  
TIPS-CFR  8.47968  9.65731  8.29513  1.85638  7.70317  5.40193  6.66752  6.30641  8.47829  5.13142  
CSPS-CFR  6.54504  7.85584  9.25211  1.36711  8.28784  6.09888  6.88597  8.09962  9.03017  8.25108  
CFPS-CFR  8.21318  10.6629  5.63171  2.58319  7.59821  5.40116  6.67905  6.04091  9.57311  5.79012  
CFPS-CFR_EX+IN  3.79041  3.38449  6.27795  2.57227  4.13952  9.03182  5.61319  6.27749  4.10549  3.67095  
TIPS-CFR_EX+IN  7.07348  6.25322  9.65393  1.34456  4.16837  8.4918  4.9842  8.4723  4.27419  4.07298  
t = 17
CFR  5.66213  5.66213  7.67434  1.56607  4.88709  6.7215  6.32048  6.79974  4.96474  4.4164  
CFR_EX+IN  5.66213  5.66213  6.93308  2.5137  3.55776  9.16436  6.74134  10.9677  4.16089  4.32724  
CFR_IN  6.09605  9.54325  5.23885  2.13184  5.77373  7.278  6.846  7.2579  5.68325  7.35986  
A-CFR_IN  2.63725  3.63545  6.64603  1.1545  1.46493  5.79739  3.58278  3.60578  4.56321  2.09631  
BPS-CFR  3.91152  3.60139  12.4052  1.51547  4.10549  8.47668  5.94521  6.72344  4.13948  4.24098  
TIPS-CFR  7.98507  9.99248  8.19938  2.04443  8.62806  5.35185  6.77492  6.17954  10.4858  5.40716  
CSPS-CFR  7.52684  7.23803  9.05457  1.44597  7.56581  6.0777  7.10966  8.05913  9.0525  6.96458  
CFPS-CFR  9.13894  9.86413  5.87341  2.44029  8.71382  5.40839  6.37776  5.89169  8.86023  7.25175  
CFPS-CFR_EX+IN  3.89404  3.97133  5.85027  2.69123  4.07149  8.04427  6.36438  7.33065  4.10549  4.11175  
