learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
BPS-EFR  (-0.0258926, 7)  (-0.0405818, 7)  (0.0750811, 8)  (1.38289, 7)  (0, 9)  (0.0880035, 9)  (0.0257056, 9)  (0.0888392, 9)  (-0.0155541, 9)  (-0.0169079, 10)  (0.14594, 7)  
TIPS-EFR  (0.023147, 8)  (0.00243916, 8)  (-0.0253805, 10)  (1.34782, 8)  (0.0657865, 11)  (0, 9)  (0.0346737, 10)  (0.00134933, 10)  (0.0431538, 11)  (0.039986, 11)  (0.0989999, 8)  
CSPS-EFR  (-0.0102095, 8)  (-0.0294029, 9)  (0.0388333, 10)  (1.402, 8)  (0.0242877, 11)  (0.0563661, 10)  (2.22045e-16, 11)  (0.0575203, 10)  (0.00335186, 11)  (0.000804036, 11)  (0.149018, 8)  
CFPS-EFR  (0.0223283, 8)  (0.0015567, 8)  (-0.0267354, 10)  (1.34648, 8)  (0.0649688, 11)  (-0.00134933, 9)  (0.0335589, 11)  (0, 10)  (0.0422723, 11)  (0.039103, 11)  (0.0976558, 8)  
CFPS-EFR_EX+IN  (-0.0110493, 8)  (-0.0260085, 9)  (0.0800495, 10)  (1.40391, 8)  (0.0159363, 11)  (0.0936957, 10)  (0.0357336, 11)  (0.0945801, 10)  (0, 11)  (-0.00150856, 12)  (0.156197, 9)  
TIPS-EFR_EX+IN  (-0.00962017, 9)  (-0.0244987, 9)  (0.0814766, 10)  (1.40534, 8)  (0.0173641, 11)  (0.095123, 10)  (0.0373276, 11)  (0.0960075, 10)  (0.00150856, 11)  (-4.44089e-16, 12)  (0.157624, 9)  
BEHAV-EFR  (-0.0507389, 8)  (-0.0771104, 8)  (-0.124365, 10)  (1.25254, 8)  (-0.00772688, 11)  (-0.0989999, 10)  (-0.0665445, 11)  (-0.0976558, 10)  (-0.0360345, 11)  (-0.0392145, 11)  (0, 9)  
BR  (2.63927, 3)  (2.62976, 3)  (2.80177, 4)  (2.19303, 4)  (2.64872, 5)  (2.80177, 4)  (2.74548, 5)  (2.80177, 5)  (2.62706, 5)  (2.62971, 5)  (2.80177, 4)  
t = 3
CFR  (1.11022e-16, 7)  (-0.0557227, 7)  (0.0174655, 9)  (1.78761, 7)  (-0.0415042, 8)  (0.0464929, 9)  (-0.0828547, 9)  (0.0457361, 9)  (-0.0963093, 9)  (-0.0888697, 10)  (0.208431, 9)  
CFR_EX+IN  (0.0522272, 7)  (0, 8)  (0.0453066, 10)  (1.78863, 8)  (0.0127976, 9)  (0.0738802, 11)  (-0.022047, 10)  (0.073153, 11)  (-0.0378307, 10)  (-0.0329529, 11)  (0.214791, 9)  
CFR_IN  (0.151819, 7)  (0.102074, 7)  (0, 10)  (1.65829, 8)  (0.110987, 9)  (0.024809, 10)  (0.0433276, 10)  (0.0239058, 10)  (0.0653943, 10)  (0.0670777, 10)  (0.0816899, 9)  
A-EFR_IN  (-0.218373, 7)  (-0.226488, 7)  (-0.117588, 9)  (1.38778e-17, 7)  (-0.159752, 9)  (-0.113548, 9)  (-0.127036, 9)  (-0.126503, 10)  (-0.181048, 9)  (-0.169023, 10)  (-0.0729857, 8)  
BPS-EFR  (0.0382556, 6)  (-0.0209174, 6)  (-0.00331259, 9)  (1.7585, 7)  (0, 8)  (0.0253946, 9)  (-0.0569268, 9)  (0.0246481, 9)  (-0.0594443, 9)  (-0.0520365, 9)  (0.188949, 8)  
TIPS-EFR  (0.184684, 8)  (0.135932, 8)  (-0.0248337, 10)  (1.63373, 8)  (0.143092, 9)  (0, 10)  (0.0615345, 10)  (-0.000944241, 10)  (0.0998659, 10)  (0.101618, 10)  (0.0607494, 9)  
CSPS-EFR  (0.0839648, 8)  (0.0248467, 8)  (0.0315931, 10)  (1.76303, 8)  (0.0524988, 10)  (0.0624154, 10)  (-1.11022e-16, 10)  (0.0618787, 11)  (-0.00793577, 10)  (-0.00662989, 11)  (0.182665, 9)  
CFPS-EFR  (0.186372, 7)  (0.138297, 8)  (-0.0238804, 10)  (1.63321, 8)  (0.144785, 10)  (0.000924631, 10)  (0.0614125, 10)  (0, 10)  (0.102439, 10)  (0.104273, 11)  (0.0629924, 9)  
CFPS-EFR_EX+IN  (0.0906909, 8)  (0.036031, 8)  (0.0283165, 10)  (1.76608, 8)  (0.0535736, 10)  (0.0567824, 10)  (0.000472533, 10)  (0.056071, 11)  (0, 11)  (0.00490057, 10)  (0.200326, 9)  
TIPS-EFR_EX+IN  (0.0861766, 8)  (0.0323771, 8)  (0.0276692, 10)  (1.76634, 8)  (0.0471571, 10)  (0.0562094, 11)  (-0.000326065, 10)  (0.0555073, 11)  (-0.00495228, 11)  (-1.66533e-16, 10)  (0.199507, 9)  
BEHAV-EFR  (0.19978, 7)  (0.147469, 8)  (-0.0900918, 10)  (1.58755, 8)  (0.145897, 10)  (-0.0640022, 10)  (0.0386405, 10)  (-0.0648769, 10)  (0.0971349, 10)  (0.0995236, 10)  (0, 9)  
BR  (1.36584, 3)  (1.29199, 3)  (2.30792, 4)  (2.08519, 4)  (1.33136, 4)  (2.31851, 4)  (1.56145, 5)  (2.31808, 5)  (1.24507, 5)  (1.23736, 5)  (2.29965, 4)  
t = 4
CFR  (8.32667e-17, 5)  (0.010139, 6)  (0.00261379, 9)  (1.76117, 7)  (-0.0101855, 7)  (-0.0918788, 9)  (0.0602169, 9)  (-0.143596, 10)  (-0.00234273, 8)  (0.0113791, 9)  (-0.261334, 9)  
CFR_EX+IN  (-0.00536388, 6)  (0, 7)  (-0.00769659, 11)  (1.7528, 7)  (-0.0047796, 8)  (-0.0962281, 10)  (0.0585546, 10)  (-0.123075, 11)  (-0.00453699, 8)  (0.000675014, 10)  (-0.216103, 11)  
CFR_IN  (0.0296378, 6)  (0.0343492, 6)  (-1.66533e-16, 11)  (1.78765, 7)  (0.0206996, 8)  (0.00325765, 10)  (0.177253, 9)  (-0.00373863, 11)  (0.00510023, 8)  (-0.000846789, 10)  (-0.0597745, 10)  
A-EFR_IN  (-0.204075, 5)  (-0.203222, 6)  (0.13288, 9)  (0, 7)  (-0.247253, 7)  (0.147987, 9)  (0.0188198, 9)  (0.140785, 10)  (-0.290947, 8)  (-0.143749, 9)  (0.0420317, 9)  
BPS-EFR  (0.00749101, 5)  (0.0141932, 6)  (0.0696613, 9)  (1.76269, 7)  (2.77556e-17, 7)  (-0.0195782, 9)  (0.0518063, 8)  (-0.0651745, 10)  (0.00217155, 7)  (0.01587, 8)  (-0.191021, 9)  
TIPS-EFR  (0.0219147, 6)  (0.0276306, 7)  (0.00225211, 10)  (1.79074, 7)  (0.0150294, 7)  (-2.77556e-17, 10)  (0.155174, 10)  (-0.00500987, 11)  (-0.0039168, 8)  (-0.00985412, 10)  (-0.0153129, 10)  
CSPS-EFR  (-0.0935202, 6)  (-0.093838, 7)  (-0.147774, 11)  (1.75452, 7)  (-0.0952133, 8)  (-0.151614, 10)  (-5.55112e-17, 10)  (-0.156307, 11)  (-0.0991577, 8)  (-0.10729, 10)  (-0.265786, 10)  
CFPS-EFR  (0.0255605, 6)  (0.0317095, 7)  (0.00703677, 10)  (1.79074, 7)  (0.0208203, 8)  (0.00509291, 10)  (0.160387, 10)  (-1.66533e-16, 11)  (0.00314105, 8)  (-0.00353381, 10)  (-0.0160981, 10)  
CFPS-EFR_EX+IN  (0.000703029, 6)  (0.00522883, 7)  (0.0495887, 11)  (1.75502, 8)  (0.00318397, 8)  (-0.0367847, 10)  (0.0493097, 10)  (-0.0812025, 11)  (0, 9)  (0.00493505, 10)  (-0.15327, 10)  
TIPS-EFR_EX+IN  (-0.00378673, 6)  (-0.000848448, 7)  (-0.0989914, 11)  (1.75502, 8)  (0.000294031, 8)  (-0.102813, 11)  (0.0447821, 10)  (-0.107351, 12)  (-0.00302674, 9)  (-4.16334e-17, 11)  (-0.154711, 10)  
BEHAV-EFR  (-0.0213958, 6)  (-0.00970102, 7)  (-0.0437126, 11)  (1.79382, 7)  (-0.0117165, 8)  (-0.0442984, 10)  (0.100393, 10)  (-0.0502131, 11)  (-0.0254829, 8)  (-0.0337485, 10)  (-5.55112e-17, 10)  
BR  (1.01545, 2)  (1.03254, 3)  (1.83235, 5)  (2.2, 3)  (1.02314, 3)  (1.90282, 5)  (1.27761, 4)  (1.90041, 5)  (1.04116, 4)  (1.03267, 4)  (1.86218, 4)  
t = 5
CFR  (0, 5)  (-0.00752726, 5)  (0.455603, 9)  (1.8363, 7)  (-0.0812725, 7)  (0.401696, 10)  (-0.0340923, 9)  (0.359227, 10)  (-0.118391, 8)  (-0.077022, 9)  (0.111824, 8)  
CFR_EX+IN  (0.00789812, 6)  (-5.55112e-17, 6)  (0.405739, 10)  (1.9288, 7)  (-0.070983, 7)  (0.367022, 12)  (-0.0280805, 10)  (0.331963, 12)  (-0.110344, 8)  (-0.0698428, 9)  (0.0983589, 9)  
CFR_IN  (0.0803853, 5)  (0.068157, 6)  (0, 10)  (2.00645, 7)  (0.0307888, 7)  (0.0704462, 11)  (0.0434208, 10)  (-0.00384591, 11)  (-0.0294119, 8)  (-0.00120695, 9)  (-0.0283163, 9)  
A-EFR_IN  (0.112577, 5)  (0.115979, 5)  (0.458304, 9)  (0, 7)  (0.0575998, 7)  (0.470314, 11)  (0.143781, 9)  (0.420358, 11)  (0.0278969, 7)  (0.0755446, 9)  (0.852902, 8)  
BPS-EFR  (0.0802765, 5)  (0.0683247, 5)  (0.350409, 9)  (1.83418, 7)  (1.11022e-16, 6)  (0.351295, 10)  (-0.0328186, 8)  (0.27971, 10)  (-0.041668, 7)  (-0.00274824, 9)  (0.0898962, 8)  
TIPS-EFR  (0.15613, 5)  (0.140679, 6)  (-0.0700977, 10)  (1.99584, 7)  (0.135223, 7)  (1.38778e-17, 12)  (0.0622785, 10)  (-0.0782564, 12)  (0.0846974, 8)  (0.114549, 10)  (-0.0581673, 9)  
CSPS-EFR  (0.0537831, 6)  (0.0426719, 6)  (0.252077, 10)  (1.91459, 7)  (-0.0244827, 7)  (0.286738, 12)  (5.55112e-17, 10)  (0.246993, 12)  (-0.0754134, 8)  (-0.0359146, 10)  (0.0527029, 9)  
CFPS-EFR  (0.157758, 5)  (0.142021, 6)  (-0.00505799, 10)  (1.9946, 7)  (0.136747, 7)  (0.0716265, 11)  (0.0641836, 10)  (0, 12)  (0.0860905, 9)  (0.116514, 10)  (-0.0232515, 9)  
CFPS-EFR_EX+IN  (0.0871946, 6)  (0.073736, 6)  (0.335781, 10)  (1.91097, 7)  (0.0495518, 7)  (0.318199, 12)  (-0.0200251, 10)  (0.247373, 12)  (-2.77556e-17, 9)  (0.00212263, 10)  (0.0809591, 9)  
TIPS-EFR_EX+IN  (0.0850717, 6)  (0.0715755, 6)  (0.19313, 11)  (1.9273, 8)  (0.051385, 8)  (0.235525, 12)  (-0.0248964, 10)  (0.18922, 12)  (0.00206737, 9)  (-1.11022e-16, 10)  (0.030199, 10)  
BEHAV-EFR  (0.125113, 6)  (0.0971796, 6)  (0.0276586, 10)  (1.9768, 7)  (0.0407878, 7)  (0.0516458, 11)  (0.109231, 10)  (-0.00518129, 12)  (-0.00513858, 9)  (0.0484343, 10)  (0, 9)  
BR  (1.00526, 2)  (0.988113, 2)  (1.79117, 5)  (2.2, 3)  (1.06236, 3)  (1.80668, 5)  (1.11214, 4)  (1.84068, 5)  (1.02211, 4)  (1.02941, 5)  (2.21225, 4)  
t = 6
CFR  (0, 5)  (-0.0254323, 6)  (0.0437499, 8)  (2.02475, 7)  (-0.0582183, 7)  (-0.0542512, 9)  (-0.0180995, 10)  (-0.0582045, 9)  (-0.0749843, 9)  (-0.0932011, 10)  (0.490307, 10)  
CFR_EX+IN  (0.0264715, 6)  (2.77556e-17, 7)  (0.0485431, 8)  (2.03333, 8)  (-0.0309715, 7)  (-0.0470661, 11)  (-0.00163385, 11)  (-0.0481079, 10)  (-0.0527749, 10)  (-0.0684309, 11)  (0.479474, 11)  
CFR_IN  (0.101153, 6)  (0.0745163, 6)  (-2.22045e-16, 9)  (2.03333, 7)  (0.0433951, 7)  (-0.0965719, 10)  (0.0313092, 11)  (-0.0787719, 10)  (0.0266496, 9)  (0.0037679, 11)  (0.287551, 10)  
A-EFR_IN  (0.0835216, 5)  (0.0749836, 6)  (-0.0818613, 8)  (0, 7)  (0.188697, 7)  (0.104324, 10)  (0.20861, 10)  (0.00640035, 9)  (0.193474, 9)  (0.205576, 10)  (1.09732, 10)  
BPS-EFR  (0.0653969, 5)  (0.038827, 6)  (0.180128, 8)  (1.99144, 7)  (0, 7)  (0.0271487, 9)  (-0.0333648, 10)  (0.0407591, 9)  (-0.0315809, 8)  (-0.0354931, 9)  (0.428552, 9)  
TIPS-EFR  (0.190826, 6)  (0.161333, 7)  (0.118197, 9)  (2.03333, 7)  (0.128373, 8)  (0, 11)  (0.0524698, 11)  (0.0312978, 10)  (0.0957266, 10)  (0.0850396, 10)  (0.143426, 11)  
CSPS-EFR  (0.124262, 6)  (0.0967918, 7)  (0.224191, 9)  (2.03333, 7)  (0.0545761, 8)  (0.0617315, 11)  (-5.55112e-17, 11)  (0.0787119, 10)  (0.0123165, 10)  (0.0121025, 10)  (0.44949, 11)  
CFPS-EFR  (0.183062, 6)  (0.153956, 7)  (0.100156, 9)  (2.03333, 7)  (0.120298, 8)  (-0.0249723, 11)  (0.0432794, 11)  (0, 10)  (0.0870453, 9)  (0.0779839, 10)  (0.236213, 11)  
CFPS-EFR_EX+IN  (0.0962601, 6)  (0.0673989, 7)  (0.184399, 9)  (2.03333, 7)  (0.0392269, 8)  (0.0339331, 11)  (-0.0127038, 11)  (0.0494071, 10)  (5.55112e-17, 10)  (-0.00792383, 10)  (0.43074, 11)  
TIPS-EFR_EX+IN  (0.103992, 6)  (0.0754306, 7)  (0.184686, 9)  (2.03333, 8)  (0.0481058, 8)  (0.0340813, 11)  (-0.00699125, 11)  (0.0494378, 11)  (0.0110758, 10)  (0, 11)  (0.382887, 11)  
BEHAV-EFR  (0.200906, 6)  (0.188809, 7)  (0.264207, 9)  (2.03333, 7)  (0.0151332, 8)  (0.0965816, 11)  (-0.0624166, 11)  (0.127728, 10)  (-0.0179927, 9)  (0.0309133, 10)  (-5.55112e-17, 11)  
