learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFPS-CFR_EX+IN  20.4678  20.5216  20.5234  20.5744  20.4711  20.5833  20.5534  20.5835  20.5248  20.5242  20.5801  
TIPS-CFR_EX+IN  20.4673  20.521  20.5224  20.5753  20.4706  20.5827  20.5529  20.5829  20.5243  20.5237  20.5797  
BEHAV-CFR  20.484  20.536  20.5808  20.593  20.4951  20.5686  20.6134  20.5955  20.5422  20.5416  20.6047  
BR  20.5155  20.577  20.622  20.6316  20.5175  20.6405  20.6475  20.6405  20.5787  20.5781  20.6363  
t = 8
CFR  20.5423  20.5523  20.5786  20.5844  20.5447  20.6186  20.5807  20.6187  20.5552  20.5546  20.6158  
CFR_EX+IN  20.5477  20.5569  20.5977  20.5994  20.5505  20.6245  20.5999  20.6245  20.5599  20.5592  20.6245  
CFR_IN  20.5567  20.5673  20.6216  20.6199  20.5606  20.6396  20.6293  20.6397  20.5694  20.5688  20.644  
A-CFR_IN  20.5567  20.5673  20.592  20.6058  20.5606  20.6233  20.6138  20.6233  20.5694  20.5688  20.6249  
BPS-CFR  20.5424  20.5523  20.5859  20.5941  20.5449  20.6189  20.5762  20.6189  20.5552  20.5546  20.6181  
TIPS-CFR  20.5567  20.5673  20.6216  20.6252  20.5606  20.6396  20.6293  20.6397  20.5694  20.5688  20.6441  
CSPS-CFR  20.5524  20.5666  20.6214  20.6075  20.5594  20.6332  20.6329  20.6333  20.569  20.5684  20.64  
CFPS-CFR  20.5567  20.5673  20.6216  20.6189  20.5606  20.6396  20.6293  20.6397  20.5694  20.5688  20.6441  
CFPS-CFR_EX+IN  20.5478  20.5569  20.5998  20.6055  20.5505  20.6246  20.5966  20.6246  20.5599  20.5593  20.6264  
TIPS-CFR_EX+IN  20.5473  20.5564  20.5992  20.606  20.55  20.6238  20.5959  20.6238  20.5593  20.5587  20.6256  
BEHAV-CFR  20.5508  20.5673  20.5926  20.6162  20.5606  20.6396  20.6291  20.6395  20.5694  20.5688  20.6434  
BR  20.5682  20.5947  20.6402  20.6345  20.5695  20.6492  20.6767  20.6492  20.5962  20.5956  20.6511  
t = 9
CFR  20.5577  20.5641  20.6324  20.6117  20.5602  20.6361  20.6297  20.6362  20.5672  20.5665  20.6316  
CFR_EX+IN  20.5607  20.5676  20.6379  20.6213  20.5636  20.6421  20.6442  20.6422  20.5706  20.5698  20.6396  
CFR_IN  20.5705  20.5755  20.6511  20.6381  20.5719  20.657  20.6587  20.6571  20.577  20.5763  20.6562  
A-CFR_IN  20.5705  20.5755  20.634  20.6182  20.5719  20.6367  20.6409  20.6368  20.577  20.5763  20.6358  
BPS-CFR  20.5577  20.5642  20.6325  20.6152  20.5604  20.6363  20.624  20.6363  20.5672  20.5665  20.6343  
TIPS-CFR  20.5705  20.5755  20.6511  20.6381  20.5719  20.657  20.6543  20.6571  20.577  20.5763  20.6562  
CSPS-CFR  20.5695  20.5755  20.6491  20.6283  20.5719  20.6547  20.6672  20.6548  20.577  20.5763  20.6543  
CFPS-CFR  20.5705  20.5755  20.6511  20.6379  20.5719  20.657  20.6543  20.6571  20.577  20.5763  20.6562  
CFPS-CFR_EX+IN  20.5608  20.5676  20.638  20.6231  20.5636  20.6423  20.6384  20.6423  20.5706  20.5699  20.6415  
TIPS-CFR_EX+IN  20.5602  20.5671  20.637  20.6234  20.563  20.6413  20.6375  20.6413  20.57  20.5692  20.6406  
BEHAV-CFR  20.5705  20.5755  20.6507  20.6381  20.5719  20.657  20.6535  20.6569  20.577  20.5763  20.6562  
BR  20.5759  20.6001  20.6549  20.6386  20.5772  20.6579  20.7004  20.6579  20.6016  20.6009  20.6575  
t = 10
CFR  20.5667  20.5717  20.6461  20.6349  20.5697  20.6467  20.6575  20.6468  20.5751  20.5742  20.6434  
CFR_EX+IN  20.5682  20.573  20.649  20.6401  20.5711  20.6498  20.6622  20.6499  20.5763  20.5754  20.6484  
CFR_IN  20.575  20.5782  20.6587  20.6484  20.5766  20.6587  20.6814  20.6587  20.5798  20.579  20.6587  
A-CFR_IN  20.575  20.5782  20.6389  20.638  20.5766  20.6409  20.6565  20.6409  20.5798  20.579  20.6464  
BPS-CFR  20.5668  20.5717  20.6461  20.6377  20.5698  20.6468  20.6528  20.6468  20.5752  20.5743  20.6459  
TIPS-CFR  20.575  20.5782  20.6587  20.6484  20.5766  20.6587  20.6761  20.6587  20.5798  20.579  20.6587  
CSPS-CFR  20.575  20.5782  20.6587  20.6427  20.5766  20.6587  20.6821  20.6587  20.5798  20.579  20.6577  
CFPS-CFR  20.575  20.5782  20.6587  20.6484  20.5766  20.6587  20.6761  20.6587  20.5798  20.579  20.6587  
CFPS-CFR_EX+IN  20.5682  20.5731  20.6491  20.6413  20.5712  20.65  20.6577  20.65  20.5763  20.5754  20.65  
TIPS-CFR_EX+IN  20.5677  20.5725  20.648  20.6416  20.5705  20.6489  20.6565  20.6489  20.5756  20.5747  20.6489  
BEHAV-CFR  20.575  20.5782  20.6587  20.6484  20.5766  20.6587  20.6689  20.6587  20.5798  20.579  20.6587  
BR  20.5804  20.6028  20.6587  20.6484  20.5819  20.6587  20.7069  20.6587  20.6044  20.6036  20.6587  
t = 11
CFR  20.5719  20.578  20.6496  20.6427  20.5755  20.6506  20.6788  20.6506  20.581  20.5804  20.649  
CFR_EX+IN  20.5731  20.5793  20.6518  20.6456  20.5765  20.6527  20.6853  20.6527  20.5826  20.5819  20.6525  
CFR_IN  20.5776  20.5832  20.6587  20.6508  20.5795  20.6587  20.6987  20.6587  20.5849  20.5842  20.6587  
A-CFR_IN  20.5776  20.5832  20.6476  20.6429  20.5795  20.6504  20.6766  20.6504  20.5849  20.5842  20.6508  
BPS-CFR  20.572  20.578  20.6497  20.6438  20.5757  20.6507  20.6735  20.6507  20.581  20.5804  20.6513  
TIPS-CFR  20.5776  20.5832  20.6587  20.6508  20.5795  20.6587  20.6937  20.6587  20.5849  20.5842  20.6587  
CSPS-CFR  20.5776  20.5809  20.6587  20.6508  20.5795  20.6587  20.6978  20.6587  20.5826  20.5819  20.6587  
CFPS-CFR  20.5776  20.5832  20.6587  20.6508  20.5795  20.6587  20.6937  20.6587  20.5849  20.5842  20.6587  
CFPS-CFR_EX+IN  20.5731  20.5793  20.6518  20.6455  20.5766  20.6528  20.6801  20.6528  20.5826  20.5819  20.6534  
TIPS-CFR_EX+IN  20.5725  20.5786  20.6511  20.6457  20.5758  20.652  20.6791  20.652  20.582  20.5813  20.6526  
BEHAV-CFR  20.5776  20.5832  20.6587  20.6508  20.5795  20.6587  20.6891  20.6587  20.5849  20.5842  20.6587  
BR  20.583  20.6078  20.6587  20.6508  20.5849  20.6587  20.7204  20.6587  20.6095  20.6088  20.6587  
t = 12
